,text
6244,"Review’d his muster’d race, and took the tale:"
6245,"Those happy spirits, which, ordain’d by fate,"
6246,For future beings and new bodies wait.
6247,"With studious thought observ’d th’ illustrious throng,"
6248,In nature’s order as they pass’d along:
6249,"Their names, their fates, their conduct, and their care,"
6250,In peaceful senates and successful war.
6251,"He, when Aeneas on the plain appears,"
6252,"Meets him with open arms, and falling tears."
6253,"“Welcome,” he said, “the gods’ undoubted race!"
6254,O long expected to my dear embrace!
6255,Once more ’tis giv’n me to behold your face!
6256,The love and pious duty which you pay
6257,Have pass’d the perils of so hard a way.
6258,"’Tis true, computing times, I now believ’d"
6259,The happy day approach’d; nor are my hopes deceiv’d.
6260,"What length of lands, what oceans have you pass’d;"
6261,"What storms sustain’d, and on what shores been cast?"
6262,"How have I fear’d your fate! but fear’d it most,"
6263,"When love assail’d you, on the Libyan coast.”"
6264,"To this, the filial duty thus replies:"
6265,“Your sacred ghost before my sleeping eyes
6266,"Appear’d, and often urg’d this painful enterprise."
6267,"After long tossing on the Tyrrhene sea,"
6268,My navy rides at anchor in the bay.
6269,"But reach your hand, O parent shade, nor shun"
6270,The dear embraces of your longing son!”
6271,He said; and falling tears his face bedew:
6272,Then thrice around his neck his arms he threw;
6273,"And thrice the flitting shadow slipp’d away,"
6274,"Like winds, or empty dreams that fly the day."
6275,"Now, in a secret vale, the Trojan sees"
6276,"A sep’rate grove, thro’ which a gentle breeze"
6277,"Plays with a passing breath, and whispers thro’ the trees;"
6278,"And, just before the confines of the wood,"
6279,The gliding Lethe leads her silent flood.
6280,"About the boughs an airy nation flew,"
6281,"Thick as the humming bees, that hunt the golden dew;"
6282,"In summer’s heat on tops of lilies feed,"
6283,"And creep within their bells, to suck the balmy seed:"
6284,The winged army roams the fields around;
6285,The rivers and the rocks remurmur to the sound.
6286,"Aeneas wond’ring stood, then ask’d the cause"
6287,Which to the stream the crowding people draws.
6288,Then thus the sire: “The souls that throng the flood
6289,"Are those to whom, by fate, are other bodies ow’d:"
6290,"In Lethe’s lake they long oblivion taste,"
6291,"Of future life secure, forgetful of the past."
6292,"Long has my soul desir’d this time and place,"
6293,"To set before your sight your glorious race,"
6294,That this presaging joy may fire your mind
6295,To seek the shores by destiny design’d.”
6296,"“O father, can it be, that souls sublime"
6297,"Return to visit our terrestrial clime,"
6298,"And that the gen’rous mind, releas’d by death,"
6299,Can covet lazy limbs and mortal breath?”
6300,"Anchises then, in order, thus begun"
6301,To clear those wonders to his godlike son:
6302,"“Know, first, that heav’n, and earth’s compacted frame,"
6303,"And flowing waters, and the starry flame,"
6304,"And both the radiant lights, one common soul"
6305,"Inspires and feeds, and animates the whole."
6306,"This active mind, infus’d thro’ all the space,"
6307,Unites and mingles with the mighty mass.
6308,"Hence men and beasts the breath of life obtain,"
6309,"And birds of air, and monsters of the main."
6310,"Th’ ethereal vigour is in all the same,"
6311,And every soul is fill’d with equal flame;
6312,"As much as earthy limbs, and gross allay"
6313,"Of mortal members, subject to decay,"
6314,Blunt not the beams of heav’n and edge of day.
6315,"From this coarse mixture of terrestrial parts,"
6316,"Desire and fear by turns possess their hearts,"
6317,"And grief, and joy; nor can the groveling mind,"
6318,"In the dark dungeon of the limbs confin’d,"
6319,"Assert the native skies, or own its heav’nly kind:"
6320,Nor death itself can wholly wash their stains;
6321,But long-contracted filth ev’n in the soul remains.
6322,"The relics of inveterate vice they wear,"
6323,And spots of sin obscene in ev’ry face appear.
6324,For this are various penances enjoin’d;
6325,"And some are hung to bleach upon the wind,"
6326,"Some plung’d in waters, others purg’d in fires,"
6327,"Till all the dregs are drain’d, and all the rust expires."
6328,"All have their manes, and those manes bear:"
6329,"The few, so cleans’d, to these abodes repair,"
6330,"And breathe, in ample fields, the soft Elysian air."
6331,"Then are they happy, when by length of time"
6332,The scurf is worn away of each committed crime;
6333,"No speck is left of their habitual stains,"
6334,But the pure ether of the soul remains.
6335,"But, when a thousand rolling years are past,"
6336,"(So long their punishments and penance last,)"
6337,"Whole droves of minds are, by the driving god,"
6338,"Compell’d to drink the deep Lethaean flood,"
6339,In large forgetful draughts to steep the cares
6340,"Of their past labours, and their irksome years,"
6341,"That, unrememb’ring of its former pain,"
6342,The soul may suffer mortal flesh again.”
6343,"Thus having said, the father spirit leads"
6344,"The priestess and his son thro’ swarms of shades,"
6345,"And takes a rising ground, from thence to see"
6346,The long procession of his progeny.
6347,"“Survey,” pursued the sire, “this airy throng,"
6348,"As, offer’d to thy view, they pass along."
6349,"These are th’ Italian names, which fate will join"
6350,"With ours, and graff upon the Trojan line."
6351,"Observe the youth who first appears in sight,"
6352,"And holds the nearest station to the light,"
6353,"Already seems to snuff the vital air,"
6354,"And leans just forward, on a shining spear:"
6355,"Silvius is he, thy last-begotten race,"
6356,"But first in order sent, to fill thy place;"
6357,"An Alban name, but mix’d with Dardan blood,"
6358,Born in the covert of a shady wood:
6359,"Him fair Lavinia, thy surviving wife,"
6360,"Shall breed in groves, to lead a solitary life."
6361,"In Alba he shall fix his royal seat,"
6362,"And, born a king, a race of kings beget."
6363,"Then Procas, honour of the Trojan name,"
6364,"Capys, and Numitor, of endless fame."
6365,A second Silvius after these appears;
6366,"Silvius Aeneas, for thy name he bears;"
6367,"For arms and justice equally renown’d,"
6368,"Who, late restor’d, in Alba shall be crown’d."
6369,How great they look! how vig’rously they wield
6370,"Their weighty lances, and sustain the shield!"
6371,"But they, who crown’d with oaken wreaths appear,"
6372,Shall Gabian walls and strong Fidena rear;
6373,"Nomentum, Bola, with Pometia, found;"
6374,And raise Collatian tow’rs on rocky ground.
6375,"All these shall then be towns of mighty fame,"
6376,"Tho’ now they lie obscure, and lands without a name."
6377,"See Romulus the great, born to restore"
6378,The crown that once his injur’d grandsire wore.
6379,"This prince a priestess of your blood shall bear,"
6380,And like his sire in arms he shall appear.
6381,"Two rising crests, his royal head adorn;"
6382,"Born from a god, himself to godhead born:"
6383,"His sire already signs him for the skies,"
6384,And marks the seat amidst the deities.
6385,"Auspicious chief! thy race, in times to come,"
6386,Shall spread the conquests of imperial Rome.
6387,"Rome, whose ascending tow’rs shall heav’n invade,"
6388,Involving earth and ocean in her shade;
6389,"High as the Mother of the Gods in place,"
6390,"And proud, like her, of an immortal race."
6391,"Then, when in pomp she makes the Phrygian round,"
6392,With golden turrets on her temples crown’d;
6393,A hundred gods her sweeping train supply;
6394,"Her offspring all, and all command the sky."
6395,"“Now fix your sight, and stand intent, to see"
6396,"Your Roman race, and Julian progeny."
6397,"The mighty Caesar waits his vital hour,"
6398,"Impatient for the world, and grasps his promis’d pow’r."
6399,"But next behold the youth of form divine,"
6400,"Caesar himself, exalted in his line;"
6401,"Augustus, promis’d oft, and long foretold,"
6402,Sent to the realm that Saturn rul’d of old;
6403,Born to restore a better age of gold.
6404,Afric and India shall his pow’r obey;
6405,He shall extend his propagated sway
6406,"Beyond the solar year, without the starry way,"
6407,"Where Atlas turns the rolling heav’ns around,"
6408,And his broad shoulders with their lights are crown’d.
6409,"At his foreseen approach, already quake"
6410,The Caspian kingdoms and Maeotian lake:
6411,"Their seers behold the tempest from afar,"
6412,And threat’ning oracles denounce the war.
6413,"Nile hears him knocking at his sev’nfold gates,"
6414,"And seeks his hidden spring, and fears his nephew’s fates."
6415,"Nor Hercules more lands or labours knew,"
6416,"Not tho’ the brazen-footed hind he slew,"
6417,"Freed Erymanthus from the foaming boar,"
6418,And dipp’d his arrows in Lernaean gore;
6419,"Nor Bacchus, turning from his Indian war,"
6420,"By tigers drawn triumphant in his car,"
6421,"From Nisus’ top descending on the plains,"
6422,With curling vines around his purple reins.
6423,And doubt we yet thro’ dangers to pursue
6424,"The paths of honour, and a crown in view?"
6425,"But what’s the man, who from afar appears?"
6426,"His head with olive crown’d, his hand a censer bears,"
6427,His hoary beard and holy vestments bring
6428,His lost idea back: I know the Roman king.
6429,"He shall to peaceful Rome new laws ordain,"
6430,Call’d from his mean abode a scepter to sustain.
6431,"Him Tullus next in dignity succeeds,"
6432,"An active prince, and prone to martial deeds."
6433,"He shall his troops for fighting fields prepare,"
6434,"Disus’d to toils, and triumphs of the war."
6435,"By dint of sword his crown he shall increase,"
6436,And scour his armour from the rust of peace.
6437,"Whom Ancus follows, with a fawning air,"
6438,"But vain within, and proudly popular."
6439,"Next view the Tarquin kings, th’ avenging sword"
6440,"Of Brutus, justly drawn, and Rome restor’d."
6441,"He first renews the rods and ax severe,"
6442,And gives the consuls royal robes to wear.
6443,"His sons, who seek the tyrant to sustain,"
6444,"And long for arbitrary lords again,"
6445,"With ignominy scourg’d, in open sight,"
6446,"He dooms to death deserv’d, asserting public right."
6447,"Unhappy man, to break the pious laws"
6448,"Of nature, pleading in his children’s cause!"
6449,"Howe’er the doubtful fact is understood,"
6450,"’Tis love of honour, and his country’s good:"
6451,"The consul, not the father, sheds the blood."
6452,Behold Torquatus the same track pursue;
6453,"And, next, the two devoted Decii view:"
6454,"The Drusian line, Camillus loaded home"
6455,"With standards well redeem’d, and foreign foes o’ercome"
6456,"The pair you see in equal armour shine,"
6457,"Now, friends below, in close embraces join;"
6458,"But, when they leave the shady realms of night,"
6459,"And, cloth’d in bodies, breathe your upper light,"
6460,With mortal hate each other shall pursue:
6461,"What wars, what wounds, what slaughter shall ensue!"
6462,From Alpine heights the father first descends;
6463,His daughter’s husband in the plain attends:
6464,His daughter’s husband arms his eastern friends.
6465,"Embrace again, my sons, be foes no more;"
6466,Nor stain your country with her children’s gore!
6467,"And thou, the first, lay down thy lawless claim,"
6468,"Thou, of my blood, who bear’st the Julian name!"
6469,"Another comes, who shall in triumph ride,"
6470,"And to the Capitol his chariot guide,"
6471,"From conquer’d Corinth, rich with Grecian spoils."
6472,"And yet another, fam’d for warlike toils,"
6473,"On Argos shall impose the Roman laws,"
6474,And on the Greeks revenge the Trojan cause;
6475,Shall drag in chains their Achillean race;
6476,"Shall vindicate his ancestors’ disgrace,"
6477,"And Pallas, for her violated place."
6478,"Great Cato there, for gravity renown’d,"
6479,And conqu’ring Cossus goes with laurels crown’d.
6480,Who can omit the Gracchi? who declare
6481,"The Scipios’ worth, those thunderbolts of war,"
6482,The double bane of Carthage? Who can see
6483,"Without esteem for virtuous poverty,"
6484,"Severe Fabricius, or can cease t’ admire"
6485,The plowman consul in his coarse attire?
6486,"Tir’d as I am, my praise the Fabii claim;"
6487,"And thou, great hero, greatest of thy name,"
6488,"Ordain’d in war to save the sinking state,"
6489,"And, by delays, to put a stop to fate!"
6490,Let others better mould the running mass
6491,"Of metals, and inform the breathing brass,"
6492,And soften into flesh a marble face;
6493,"Plead better at the bar; describe the skies,"
6494,"And when the stars descend, and when they rise."
6495,"But, Rome, ’tis thine alone, with awful sway,"
6496,"To rule mankind, and make the world obey,"
6497,Disposing peace and war by thy own majestic way;
6498,"To tame the proud, the fetter’d slave to free:"
6499,"These are imperial arts, and worthy thee.”"
6500,"He paus’d; and, while with wond’ring eyes they view’d"
6501,"The passing spirits, thus his speech renew’d:"
6502,"“See great Marcellus! how, untir’d in toils,"
6503,"He moves with manly grace, how rich with regal spoils!"
6504,"He, when his country, threaten’d with alarms,"
6505,"Requires his courage and his conqu’ring arms,"
6506,Shall more than once the Punic bands affright;
6507,Shall kill the Gaulish king in single fight;
6508,"Then to the Capitol in triumph move,"
6509,And the third spoils shall grace Feretrian Jove.”
6510,"Aeneas here beheld, of form divine,"
6511,"A godlike youth in glitt’ring armour shine,"
6512,With great Marcellus keeping equal pace;
6513,"But gloomy were his eyes, dejected was his face."
6514,"He saw, and, wond’ring, ask’d his airy guide,"
6515,"What and of whence was he, who press’d the hero’s side:"
6516,"“His son, or one of his illustrious name?"
6517,"How like the former, and almost the same!"
6518,Observe the crowds that compass him around;
6519,"All gaze, and all admire, and raise a shouting sound:"
6520,"But hov’ring mists around his brows are spread,"
6521,"And night, with sable shades, involves his head.”"
6522,"“Seek not to know,” the ghost replied with tears,"
6523,“The sorrows of thy sons in future years.
6524,This youth (the blissful vision of a day)
6525,"Shall just be shown on earth, and snatch’d away."
6526,"The gods too high had rais’d the Roman state,"
6527,Were but their gifts as permanent as great.
6528,What groans of men shall fill the Martian field!
6529,How fierce a blaze his flaming pile shall yield!
6530,"What fun’ral pomp shall floating Tiber see,"
6531,"When, rising from his bed, he views the sad solemnity!"
6532,"No youth shall equal hopes of glory give,"
6533,No youth afford so great a cause to grieve;
6534,"The Trojan honour, and the Roman boast,"
6535,"Admir’d when living, and ador’d when lost!"
6536,Mirror of ancient faith in early youth!
6537,"Undaunted worth, inviolable truth!"
6538,"No foe, unpunish’d, in the fighting field"
6539,"Shall dare thee, foot to foot, with sword and shield;"
6540,"Much less in arms oppose thy matchless force,"
6541,When thy sharp spurs shall urge thy foaming horse.
6542,"Ah! couldst thou break thro’ fate’s severe decree,"
6543,A new Marcellus shall arise in thee!
6544,"Full canisters of fragrant lilies bring,"
6545,Mix’d with the purple roses of the spring;
6546,Let me with fun’ral flow’rs his body strow;
6547,"This gift which parents to their children owe,"
6548,"This unavailing gift, at least, I may bestow!”"
6549,"Thus having said, he led the hero round"
6550,The confines of the blest Elysian ground;
6551,"Which when Anchises to his son had shown,"
6552,"And fir’d his mind to mount the promis’d throne,"
6553,"He tells the future wars, ordain’d by fate;"
6554,The strength and customs of the Latian state;
6555,"The prince, and people; and forearms his care"
6556,"With rules, to push his fortune, or to bear."
6557,Two gates the silent house of Sleep adorn;
6558,"Of polish’d ivory this, that of transparent horn:"
6559,True visions thro’ transparent horn arise;
6560,Thro’ polish’d ivory pass deluding lies.
6561,"Of various things discoursing as he pass’d,"
6562,Anchises hither bends his steps at last.
6563,"Then, thro’ the gate of iv’ry, he dismiss’d"
6564,His valiant offspring and divining guest.
6565,"Straight to the ships Aeneas took his way,"
6566,"Embark’d his men, and skimm’d along the sea,"
6567,"Still coasting, till he gain’d Cajeta’s bay."
6568,At length on oozy ground his galleys moor;
6569,"Their heads are turn’d to sea, their sterns to shore."
6570,"King Latinus entertains Aeneas, and promises him his only"
6571,"daughter, Lavinia, the heiress of his crown. Turnus, being in"
6572,"love with her, favoured by her mother, and by Juno and Alecto,"
6573,"breaks the treaty which was made, and engages in his quarrel"
6574,"Mezentius, Camilla, Messapus, and many other of the neighbouring"
6575,"princes; whose forces, and the names of their commanders are"
6576,particularly related.
6577,"And thou, O matron of immortal fame,"
6578,"Here dying, to the shore hast left thy name;"
6579,"Cajeta still the place is call’d from thee,"
6580,The nurse of great Aeneas’ infancy.
6581,Here rest thy bones in rich Hesperia’s plains;
6582,Thy name (’tis all a ghost can have) remains.
6583,"Now, when the prince her fun’ral rites had paid,"
6584,He plow’d the Tyrrhene seas with sails display’d.
6585,"From land a gentle breeze arose by night,"
6586,"Serenely shone the stars, the moon was bright,"
6587,And the sea trembled with her silver light.
6588,"Now near the shelves of Circe’s shores they run,"
6589,"(Circe the rich, the daughter of the Sun,)"
6590,A dang’rous coast: the goddess wastes her days
6591,In joyous songs; the rocks resound her lays:
6592,"In spinning, or the loom, she spends the night,"
6593,And cedar brands supply her father’s light.
6594,"From hence were heard, rebellowing to the main,"
6595,"The roars of lions that refuse the chain,"
6596,"The grunts of bristled boars, and groans of bears,"
6597,And herds of howling wolves that stun the sailors’ ears.
6598,"These from their caverns, at the close of night,"
6599,Fill the sad isle with horror and affright.
6600,"Darkling they mourn their fate, whom Circe’s pow’r,"
6601,"(That watch’d the moon and planetary hour,)"
6602,With words and wicked herbs from humankind
6603,"Had alter’d, and in brutal shapes confin’d."
6604,Which monsters lest the Trojans’ pious host
6605,"Should bear, or touch upon th’ inchanted coast,"
6606,Propitious Neptune steer’d their course by night
6607,With rising gales that sped their happy flight.
6608,"Supplied with these, they skim the sounding shore,"
6609,And hear the swelling surges vainly roar.
6610,"Now, when the rosy morn began to rise,"
6611,And wav’d her saffron streamer thro’ the skies;
6612,"When Thetis blush’d in purple not her own,"
6613,"And from her face the breathing winds were blown,"
6614,"A sudden silence sate upon the sea,"
6615,"And sweeping oars, with struggling, urge their way."
6616,"The Trojan, from the main, beheld a wood,"
6617,Which thick with shades and a brown horror stood:
6618,"Betwixt the trees the Tiber took his course,"
6619,"With whirlpools dimpled; and with downward force,"
6620,"That drove the sand along, he took his way,"
6621,And roll’d his yellow billows to the sea.
6622,"About him, and above, and round the wood,"
6623,"The birds that haunt the borders of his flood,"
6624,"That bath’d within, or basked upon his side,"
6625,To tuneful songs their narrow throats applied.
6626,The captain gives command; the joyful train
6627,"Glide thro’ the gloomy shade, and leave the main."
6628,"Now, Erato, thy poet’s mind inspire,"
6629,And fill his soul with thy celestial fire!
6630,Relate what Latium was; her ancient kings;
6631,"Declare the past and present state of things,"
6632,"When first the Trojan fleet Ausonia sought,"
6633,"And how the rivals lov’d, and how they fought."
6634,"These are my theme, and how the war began,"
6635,And how concluded by the godlike man:
6636,"For I shall sing of battles, blood, and rage,"
6637,Which princes and their people did engage;
6638,"And haughty souls, that, mov’d with mutual hate,"
6639,In fighting fields pursued and found their fate;
6640,"That rous’d the Tyrrhene realm with loud alarms,"
6641,And peaceful Italy involv’d in arms.
6642,A larger scene of action is display’d;
6643,"And, rising hence, a greater work is weigh’d."
6644,"Latinus, old and mild, had long possess’d"
6645,"The Latin scepter, and his people blest:"
6646,His father Faunus; a Laurentian dame
6647,His mother; fair Marica was her name.
6648,But Faunus came from Picus: Picus drew
6649,"His birth from Saturn, if records be true."
6650,"Thus King Latinus, in the third degree,"
6651,Had Saturn author of his family.
6652,"But this old peaceful prince, as Heav’n decreed,"
6653,Was blest with no male issue to succeed:
6654,His sons in blooming youth were snatch’d by fate;
6655,One only daughter heir’d the royal state.
6656,"Fir’d with her love, and with ambition led,"
6657,The neighb’ring princes court her nuptial bed.
6658,"Among the crowd, but far above the rest,"
6659,Young Turnus to the beauteous maid address’d.
6660,"Turnus, for high descent and graceful mien,"
6661,"Was first, and favour’d by the Latian queen;"
6662,"With him she strove to join Lavinia’s hand,"
6663,But dire portents the purpos’d match withstand.
6664,"Deep in the palace, of long growth, there stood"
6665,"A laurel’s trunk, a venerable wood;"
6666,Where rites divine were paid; whose holy hair
6667,Was kept and cut with superstitious care.
6668,"This plant Latinus, when his town he wall’d,"
6669,"Then found, and from the tree Laurentum call’d;"
6670,"And last, in honour of his new abode,"
6671,He vow’d the laurel to the laurel’s god.
6672,It happen’d once (a boding prodigy!)
6673,"A swarm of bees, that cut the liquid sky,"
6674,"Unknown from whence they took their airy flight,"
6675,Upon the topmost branch in clouds alight;
6676,"There with their clasping feet together clung,"
6677,And a long cluster from the laurel hung.
6678,An ancient augur prophesied from hence:
6679,“Behold on Latian shores a foreign prince!
6680,"From the same parts of heav’n his navy stands,"
6681,To the same parts on earth; his army lands;
6682,"The town he conquers, and the tow’r commands.”"
6683,"Yet more, when fair Lavinia fed the fire"
6684,"Before the gods, and stood beside her sire,"
6685,"Strange to relate, the flames, involv’d in smoke"
6686,"Of incense, from the sacred altar broke,"
6687,Caught her dishevel’d hair and rich attire;
6688,Her crown and jewels crackled in the fire:
6689,From thence the fuming trail began to spread
6690,And lambent glories danc’d about her head.
6691,"This new portent the seer with wonder views,"
6692,"Then pausing, thus his prophecy renews:"
6693,"“The nymph, who scatters flaming fires around,"
6694,"Shall shine with honour, shall herself be crown’d;"
6695,"But, caus’d by her irrevocable fate,"
6696,"War shall the country waste, and change the state.”"
6697,"Latinus, frighted with this dire ostent,"
6698,"For counsel to his father Faunus went,"
6699,And sought the shades renown’d for prophecy
6700,Which near Albunea’s sulph’rous fountain lie.
6701,To these the Latian and the Sabine land
6702,"Fly, when distress’d, and thence relief demand."
6703,"The priest on skins of off’rings takes his ease,"
6704,And nightly visions in his slumber sees;
6705,"A swarm of thin aerial shapes appears,"
6706,"And, flutt’ring round his temples, deafs his ears:"
6707,"These he consults, the future fates to know,"
6708,"From pow’rs above, and from the fiends below."
6709,"Here, for the gods’ advice, Latinus flies,"
6710,Off’ring a hundred sheep for sacrifice:
6711,"Their woolly fleeces, as the rites requir’d,"
6712,"He laid beneath him, and to rest retir’d."
6713,"No sooner were his eyes in slumber bound,"
6714,"When, from above, a more than mortal sound"
6715,Invades his ears; and thus the vision spoke:
6716,"“Seek not, my seed, in Latian bands to yoke"
6717,"Our fair Lavinia, nor the gods provoke."
6718,"A foreign son upon thy shore descends,"
6719,Whose martial fame from pole to pole extends.
6720,"His race, in arms and arts of peace renown’d,"
6721,"Not Latium shall contain, nor Europe bound:"
6722,’Tis theirs whate’er the sun surveys around.”
6723,"These answers, in the silent night receiv’d,"
6724,"The king himself divulg’d, the land believ’d:"
6725,"The fame thro’ all the neighb’ring nations flew,"
6726,When now the Trojan navy was in view.
6727,"Beneath a shady tree, the hero spread"
6728,"His table on the turf, with cakes of bread;"
6729,"And, with his chiefs, on forest fruits he fed."
6730,"They sate; and, (not without the god’s command,)"
6731,"Their homely fare dispatch’d, the hungry band"
6732,"Invade their trenchers next, and soon devour,"
6733,"To mend the scanty meal, their cakes of flour."
6734,"Ascanius this observ’d, and smiling said:"
6735,"“See, we devour the plates on which we fed.”"
6736,"The speech had omen, that the Trojan race"
6737,"Should find repose, and this the time and place."
6738,"Aeneas took the word, and thus replies,"
6739,Confessing fate with wonder in his eyes:
6740,"“All hail, O earth! all hail, my household gods!"
6741,Behold the destin’d place of your abodes!
6742,"For thus Anchises prophesied of old,"
6743,And this our fatal place of rest foretold:
6744,"‘When, on a foreign shore, instead of meat,"
6745,"By famine forc’d, your trenchers you shall eat,"
6746,"Then ease your weary Trojans will attend,"
6747,And the long labours of your voyage end.
6748,"Remember on that happy coast to build,"
6749,And with a trench inclose the fruitful field.’
6750,"This was that famine, this the fatal place"
6751,Which ends the wand’ring of our exil’d race.
6752,"Then, on tomorrow’s dawn, your care employ,"
6753,"To search the land, and where the cities lie,"
6754,And what the men; but give this day to joy.
6755,"Now pour to Jove; and, after Jove is blest,"
6756,Call great Anchises to the genial feast:
6757,Crown high the goblets with a cheerful draught;
6758,Enjoy the present hour; adjourn the future thought.”
6759,"Thus having said, the hero bound his brows"
6760,"With leafy branches, then perform’d his vows;"
6761,"Adoring first the genius of the place,"
6762,"Then Earth, the mother of the heav’nly race,"
6763,"The nymphs, and native godheads yet unknown,"
6764,"And Night, and all the stars that gild her sable throne,"
6765,"And ancient Cybel, and Idaean Jove,"
6766,"And last his sire below, and mother queen above."
6767,"Then heav’n’s high monarch thunder’d thrice aloud,"
6768,And thrice he shook aloft a golden cloud.
6769,"Soon thro’ the joyful camp a rumour flew,"
6770,The time was come their city to renew.
6771,"Then ev’ry brow with cheerful green is crown’d,"
6772,"The feasts are doubled, and the bowls go round."
6773,"When next the rosy morn disclos’d the day,"
6774,"The scouts to sev’ral parts divide their way,"
6775,"To learn the natives’ names, their towns explore,"
6776,The coasts and trendings of the crooked shore:
6777,"Here Tiber flows, and here Numicus stands;"
6778,Here warlike Latins hold the happy lands.
6779,"The pious chief, who sought by peaceful ways"
6780,"To found his empire, and his town to raise,"
6781,"A hundred youths from all his train selects,"
6782,"And to the Latian court their course directs,"
6783,"(The spacious palace where their prince resides,)"
6784,And all their heads with wreaths of olive hides.
6785,"They go commission’d to require a peace,"
6786,And carry presents to procure access.
6787,"Thus while they speed their pace, the prince designs"
6788,"His new-elected seat, and draws the lines."
6789,"The Trojans round the place a rampire cast,"
6790,And palisades about the trenches plac’d.
6791,"Meantime the train, proceeding on their way,"
6792,From far the town and lofty tow’rs survey;
6793,"At length approach the walls. Without the gate,"
6794,They see the boys and Latian youth debate
6795,The martial prizes on the dusty plain:
6796,"Some drive the cars, and some the coursers rein;"
6797,"Some bend the stubborn bow for victory,"
6798,And some with darts their active sinews try.
6799,"A posting messenger, dispatch’d from hence,"
6800,"Of this fair troop advis’d their aged prince,"
6801,That foreign men of mighty stature came;
6802,"Uncouth their habit, and unknown their name."
6803,"The king ordains their entrance, and ascends"
6804,"His regal seat, surrounded by his friends."
6805,"The palace built by Picus, vast and proud,"
6806,"Supported by a hundred pillars stood,"
6807,And round incompass’d with a rising wood.
6808,"The pile o’erlook’d the town, and drew the sight;"
6809,Surpris’d at once with reverence and delight.
6810,There kings receiv’d the marks of sov’reign pow’r;
6811,In state the monarchs march’d; the lictors bore
6812,Their awful axes and the rods before.
6813,"Here the tribunal stood, the house of pray’r,"
6814,And here the sacred senators repair;
6815,"All at large tables, in long order set,"
6816,"A ram their off’ring, and a ram their meat."
6817,"Above the portal, carv’d in cedar wood,"
6818,"Plac’d in their ranks, their godlike grandsires stood;"
6819,"Old Saturn, with his crooked scythe, on high;"
6820,"And Italus, that led the colony;"
6821,"And ancient Janus, with his double face,"
6822,"And bunch of keys, the porter of the place."
6823,"There good Sabinus, planter of the vines,"
6824,"On a short pruning hook his head reclines,"
6825,And studiously surveys his gen’rous wines;
6826,"Then warlike kings, who for their country fought,"
6827,And honourable wounds from battle brought.
6828,"Around the posts hung helmets, darts, and spears,"
6829,"And captive chariots, axes, shields, and bars,"
6830,"And broken beaks of ships, the trophies of their wars."
6831,"Above the rest, as chief of all the band,"
6832,"Was Picus plac’d, a buckler in his hand;"
6833,His other wav’d a long divining wand.
6834,"Girt in his Gabin gown the hero sate,"
6835,Yet could not with his art avoid his fate:
6836,"For Circe long had lov’d the youth in vain,"
6837,"Till love, refus’d, converted to disdain:"
6838,"Then, mixing pow’rful herbs, with magic art,"
6839,"She chang’d his form, who could not change his heart;"
6840,"Constrain’d him in a bird, and made him fly,"
6841,"With party-colour’d plumes, a chatt’ring pie."
6842,"In this high temple, on a chair of state,"
6843,"The seat of audience, old Latinus sate;"
6844,Then gave admission to the Trojan train;
6845,And thus with pleasing accents he began:
6846,"“Tell me, ye Trojans, for that name you own,"
6847,Nor is your course upon our coasts unknown;
6848,"Say what you seek, and whither were you bound:"
6849,Were you by stress of weather cast aground?
6850,"Such dangers as on seas are often seen,"
6851,"And oft befall to miserable men,"
6852,"Or come, your shipping in our ports to lay,"
6853,Spent and disabled in so long a way?
6854,Say what you want: the Latians you shall find
6855,"Not forc’d to goodness, but by will inclin’d;"
6856,"For, since the time of Saturn’s holy reign,"
6857,His hospitable customs we retain.
6858,I call to mind (but time the tale has worn)
6859,"Th’ Arunci told, that Dardanus, tho’ born"
6860,"On Latian plains, yet sought the Phrygian shore,"
6861,"And Samothracia, Samos call’d before."
6862,From Tuscan Coritum he claim’d his birth;
6863,"But after, when exempt from mortal earth,"
6864,"From thence ascended to his kindred skies,"
6865,"A god, and, as a god, augments their sacrifice.”"
6866,He said. Ilioneus made this reply:
6867,"“O king, of Faunus’ royal family!"
6868,"Nor wintry winds to Latium forc’d our way,"
6869,Nor did the stars our wand’ring course betray.
6870,"Willing we sought your shores; and, hither bound,"
6871,"The port, so long desir’d, at length we found;"
6872,From our sweet homes and ancient realms expell’d;
6873,Great as the greatest that the sun beheld.
6874,"The god began our line, who rules above;"
6875,"And, as our race, our king descends from Jove:"
6876,"And hither are we come, by his command,"
6877,To crave admission in your happy land.
6878,"How dire a tempest, from Mycenae pour’d,"
6879,"Our plains, our temples, and our town devour’d;"
6880,"What was the waste of war, what fierce alarms"
6881,Shook Asia’s crown with European arms;
6882,"Ev’n such have heard, if any such there be,"
6883,Whose earth is bounded by the frozen sea;
6884,"And such as, born beneath the burning sky"
6885,"And sultry sun, betwixt the tropics lie."
6886,"From that dire deluge, thro’ the wat’ry waste,"
6887,"Such length of years, such various perils past,"
6888,"At last escap’d, to Latium we repair,"
6889,To beg what you without your want may spare:
6890,"The common water, and the common air;"
6891,"Sheds which ourselves will build, and mean abodes,"
6892,Fit to receive and serve our banish’d gods.
6893,"Nor our admission shall your realm disgrace,"
6894,Nor length of time our gratitude efface.
6895,"Besides, what endless honour you shall gain,"
6896,To save and shelter Troy’s unhappy train!
6897,"Now, by my sov’reign, and his fate, I swear,"
6898,"Renown’d for faith in peace, for force in war;"
