,ASV_Original,ASV_Paraphrased,BBE_Original
569,"Again, a new commandment write I unto you, which thing is true in him and in you; because the darkness is passing away, and the true light already shineth. 
","I will write you a new commandment, which is true for you and me; because the darkness is fading, and the light is shining.","Again, I give you a new law, which is true in him and in you; for the night is near its end and the true light is even now shining out.
"
570,"He that saith he is in the light and hateth his brother, is in the darkness even until now. 
","he says he's in the light and he's looking at his brother, and he's in the dark.","He who says that he is in the light, and has hate in his heart for his brother, is still in the dark.
"
571,"He that loveth his brother abideth in the light, and there is no occasion of stumbling in him. 
","he loves his brother, and he doesn't have to worry about him.","He who has love for his brother is in the light, and there is no cause of error in him.
"
572,"But he that hateth his brother is in the darkness, and walketh in the darkness, and knoweth not whither he goeth, because the darkness hath blinded his eyes.
","he's in the dark, and he's walking in the dark, and he doesn't know where he's going.","But he who has hate for his brother is in the dark, walking in the dark with no knowledge of where he is going, unable to see because of the dark.
"
573,"I write unto you, my little children, because your sins are forgiven you for his name's sake. 
","for the sake of your name, my little children, I write you.","I am writing to you, my children, because you have forgiveness of sins through his name.
"
574,"I write unto you, fathers, because ye know him who is from the beginning. I write unto you, young men, because ye have overcome the evil one. I have written unto you, little children, because ye know the Father. 
","I write to you, young men, because you've overcome the evil one. I've written to you, little kids, because you've overcome the evil one.","I am writing to you, fathers, because you have knowledge of him who was from the first. I am writing to you, young men, because you have overcome the Evil One. I have sent a letter to you, children, because you have knowledge of the Father.
"
575,"I have written unto you, fathers, because ye know him who is from the beginning. I have written unto you, young men, because ye are strong, and the word of God abideth in you, and ye have overcome the evil one. 
","I have written to you, young men, because you know who's from the beginning.","I have sent a letter to you, fathers, because you have knowledge of him who was from the first. I have sent a letter to you, young men, because you are strong, and the word of God is in you, and because you have overcome the Evil One.
"
576,"Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him. 
","if anyone loves the world, he doesn't love the world.","Have no love for the world or for the things which are in the world. If any man has love for the world, the love of the Father is not in him.
"
577,"For all that is in the world, the lust of the flesh and the lust of the eyes and the vainglory of life, is not of the Father, but is of the world. 
","the lust of the flesh and the lust of the eyes and the glory of life are not of the Father, but of the world.","Because everything in the world, the desire of the flesh, the desire of the eyes, and the pride of life, is not of the Father but of the world.
"
578,"And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever.
","the world is dying, and the lust is dying, but the one who does it will remain forever.","And the world and its desires is coming to an end: but he who does God's pleasure is living for ever.
"
579,"Little children, it is the last hour: and as ye heard that antichrist cometh, even now have there arisen many antichrists; whereby we know that it is the last hour. 
","it's the last hour, and the antichrist is coming, so we know it's the last hour.","Little children, it is the last hour; and as you were given word that the Antichrist would come, so now a number of Antichrists have come to you; and by this we are certain that it is the last hour.
"
580,"They went out from us, but they were not of us; for if they had been of us, they would have continued with us: but they went out, that they might be made manifest that they all are not of us. 
","they came out, but they didn't belong to us, for if they were of us, they would have continued to go.","They went out from us but they were not of us; if they had been of us they would still be with us: but they went out from us so that it might be made clear that they were not of us.
"
581,"And ye have an anointing from the Holy One, and ye know all things. 
","you have a holy one, and you know everything.","And you have the Spirit from the Holy One and you all have knowledge.
"
582,"I have not written unto you because ye know not the truth, but because ye know it, and because no lie is of the truth. 
","you know, I didn't write it because you don't know the truth, but because you know it, and I'm not lying.","I have not sent you this letter because you have no knowledge of what is true, but because you have knowledge, and because that which is false has nothing in common with that which is true.
"
583,"Who is the liar but he that denieth that Jesus is the Christ? This is the antichrist, even he that denieth the Father and the Son. 
","he's a liar, but he denies the truth of the Son and the Father.","Who is false but he who says that Jesus is not the Christ? He is the Antichrist who has no belief in the Father or the Son.
"
584,"Whosoever denieth the Son, the same hath not the Father: he that confesseth the Son hath the Father also. 
","whoever denies the Son, he doesn't have the Father. He's got the Father too.","He who has no belief in the Son has not the Father: he who makes clear his belief in the Son has the Father.
"
585,"As for you, let that abide in you which ye heard from the beginning. If that which ye heard from the beginning abide in you, ye also shall abide in the Son, and in the Father. 
","if you hear from the beginning, you will also be in the Son and in the Father.","But as for you, keep in your hearts the things which were made clear to you from the first. If you keep these things in your hearts you will be kept in the Father and the Son.
"
586,"And this is the promise which he promised us, even the life eternal. 
","he promised us the promise of eternal life, even the life eternal.","And this is the hope which he gave you, even eternal life.
"
587,"These things have I written unto you concerning them that would lead you astray. 
",I've written you about things that would lead you astray.,"I am writing these things to you about those whose purpose is that you may be turned out of the true way.
"
588,"And as for you, the anointing which ye received of him abideth in you, and ye need not that any one teach you; but as his anointing teacheth you concerning all things, and is true, and is no lie, and even as it taught you, ye abide in him. 
","as for you, the anointing that you have received from him is not to be taught, but as his anointing teacheth you, and it is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is true, and is","As for you, the Spirit which he gave you is still in you, and you have no need of any teacher; but as his Spirit gives you teaching about all things, and is true and not false, so keep your hearts in him, through the teaching which he has given you.
"
589,"And now, my little children, abide in him; that, if he shall be manifested, we may have boldness, and not be ashamed before him at his coming. 
","my little children, if he's shown, don't be ashamed of him, but if he's here, we can be brave, and we won't be ashamed of him.","And now, my children, keep your hearts in him; so that at his revelation, we may have no fear or shame before him at his coming.
"
590,"If ye know that he is righteous, ye know that every one also that doeth righteousness is begotten of him.","you know he's righteous, and everyone who does good is his own.","If you have knowledge that he is upright, it is clear to you that everyone who does righteousness is his offspring.
"
591,"Now these are the last words of David. David the son of Jesse saith, And the man who was raised on high saith, The anointed of the God of Jacob, And the sweet psalmist of Israel:
","the last words of David are, and the man who was raised to heaven, the holy man of Israel, and the sweet psalmist of the nation:","Now these are the last words of David. David, the son of Jesse, says, the man who was lifted up on high, the man on whom the God of Jacob put the holy oil, the loved one of Israel's songs, says:
"
592,"The Spirit of Jehovah spake by me, And his word was upon my tongue.
","the Spirit of God spoke to me, and I spoke in my tongue.","The spirit of the Lord had voice through me, his word was on my tongue.
"
593,"The God of Israel said, The Rock of Israel spake to me: One that ruleth over men righteously, That ruleth in the fear of God,
","the Rock of Israel spoke to me: One who rules over men, who's afraid of God, that's the one who's afraid of God.","The God of Israel said, the word of the Rock of Israel came to me: When an upright king is ruling over men, when he is ruling in the fear of God,
"
594,"He shall be as the light of the morning, when the sun riseth, A morning without clouds, When the tender grass springeth out of the earth, Through clear shining after rain.
","when the sun rises, the morning is sunny, the sun is shining, and the grass is growing, and the sun is shining.","It is as the light of the morning, when the sun comes up, a morning without clouds; making young grass come to life from the earth.
"
595,"Verily my house is not so with God; Yet he hath made with me an everlasting covenant, Ordered in all things, and sure: For it is all my salvation, and all my desire, Although he maketh it not to grow.
","but God has made me a promise, and I have promised everything, and I'm sure he's done it with me.","For is not my house so with God? For he has made with me an eternal agreement, ordered in all things and certain: as for all my salvation and all my desire, will he not give it increase?
"
596,"But the ungodly shall be all of them as thorns to be thrust away, Because they cannot be taken with the hand;
","they will all be as thorns to be cut off, because they cannot be held by the hand;","But the evil-doers, all of them, will be like thorns to be pushed away, because they may not be gripped in the hand:
"
597,"But the man that toucheth them Must be armed with iron and the staff of a spear: And they shall be utterly burned with fire in their place.
",they must be armed with iron and the spear of a spear: They will burn in the fire.,"But anyone touching them has to be armed with iron and the rod of a spear; and they will be burned with fire, every one of them.
"
598,"These are the names of the mighty men whom David had: Josheb-basshebeth a Tahchemonite, chief of the captains; the same was Adino the Eznite, against eight hundred slain at one time.
","the names of the great men who were David's: Josheb-basshebeth a Tahchemonite, the chief of the captains; the same was Adino, the Eznite, against the eight hundred.","These are the names of David's men of war: Ishbaal the Hachmonite, chief of the three; his axe was lifted up against eight hundred put to death at one time.
"
599,"And after him was Eleazar the son of Dodai the son of an Ahohite, one of the three mighty men with David, when they defied the Philistines that were there gathered together to battle, and the men of Israel were gone away. 
","when the Philistines gathered together to battle, the men of Israel were gone, and the men of Israel were gone, and the men of Israel were gone, and the men of Israel were gone.","After him was Eleazar, the son of Dodai the Ahohite, one of the three great fighters, who was with David in Pas-dammim when the Philistines came together there for the fight; and when the men of Israel had gone in flight,
"
600,"He arose, and smote the Philistines until his hand was weary, and his hand clave unto the sword; and Jehovah wrought a great victory that day; and the people returned after him only to take spoil.
","the day of the battle was a great victory, and the people returned to the battle only to be defeated.","He was with David and went on fighting the Philistines till his hand became tired and stiff from gripping his sword: and that day the Lord gave a great salvation, and the people came back after him only to take the goods of the Philistines.
"
601,"And after him was Shammah the son of Agee a Hararite. And the Philistines were gathered together into a troop, where was a plot of ground full of lentils; and the people fled from the Philistines. 
","then Shammah, the son of Agee, was a Hararite, and the people fled from the Philistines.","After him was Shammah, the son of Ela the Hararite. And the Philistines came together in Lehi, where there was a bit of land full of seed; and the people went in flight from the Philistines.
"
602,"But he stood in the midst of the plot, and defended it, and slew the Philistines; and Jehovah wrought a great victory.
","he stood in the middle of the plot, defended it, and killed the Philistians; and Jehovah was victorious.","But he kept his place in the middle of the bit of land, and kept back their attack and overcame the Philistines: and the Lord gave a great salvation.
"
603,"And three of the thirty chief men went down, and came to David in the harvest time unto the cave of Adullam; and the troop of the Philistines was encamped in the valley of Rephaim. 
","the three men who had fallen were taken to the cave of Adullam by the Philistines, and the troops of the Philistians were in the valley of Rephaim.","And three of the thirty went down at the start of the grain-cutting, and they came to David at the strong place of Adullam; and the band of Philistines had taken up their position in the valley of Rephaim.
"
604,"And David was then in the stronghold; and the garrison of the Philistines was then in Beth-lehem. 
","then David was in the stronghold, and the Philistians were in Beth-lehem.","And at that time David had taken cover in the strong place, and an armed force of the Philistines was in Beth-lehem.
"
605,"And David longed, and said, Oh that one would give me water to drink of the well of Beth-lehem, which is by the gate! 
","I'd like to drink water from Beth-lehem, which is at the gate!","And David, moved by a strong desire, said, If only someone would give me a drink of water from the water-hole of Beth-lehem, by the doorway into the town!
"
606,"And the three mighty men brake through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it, and brought it to David: but he would not drink thereof, but poured it out unto Jehovah. 
","the three mighty men, who were in the gate, and the water was flowing out of the well, and David took it, and took it to David:","And the three men, forcing their way through the Philistine army, got water from the water-hole of Beth-lehem, by the doorway into the town, and took it back to David: but he would not take it, but, draining it out, made an offering of it to the Lord.
"
607,"And he said, Be it far from me, O Jehovah, that I should do this: shall I drink the blood of the men that went in jeopardy of their lives? therefore he would not drink it. These things did the three mighty men.
","then he said, Be it far from me, O Jehovah, that I should have done it: Would I drink the blood of the men who were in danger?","And he said, Far be it from me, O Lord, to do this; how may I take as my drink the life-blood of men who have put their lives in danger? So he would not take it. These things did the three great men of war.
"
608,"And Abishai, the brother of Joab, the son of Zeruiah, was chief of the three. And he lifted up his spear against three hundred and slew them, and had a name among the three. 
","Abishai, the brother of Joab, the son of Zeruiah, was the leader of the three. He raised his spear and killed them.","And Abishai, the brother of Joab, the son of Zeruiah, was chief of the thirty. He put to death three hundred with his spear, and he got for himself a name among the thirty.
"
609,"Was he not most honorable of the three? therefore he was made their captain: howbeit he attained not unto the first three.
","however, he was not the best of the three, but he was the captain of the three.","Was he not the noblest of the thirty? so he was made their captain: but he was not equal to the first three.
"
610,"And Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done mighty deeds, he slew the two sons of Ariel of Moab: he went down also and slew a lion in the midst of a pit in time of snow. 
","the two sons of Ariel, the sons of a brave man of Kabzeel, killed the lion, and he fell.","And Benaiah the son of Jehoiada, a fighting man of Kabzeel, had done great acts; he put to death the two sons of Ariel of Moab: he went down into a hole and put a lion to death in time of snow:
"
611,"And he slew an Egyptian, a goodly man: and the Egyptian had a spear in his hand; but he went down to him with a staff, and plucked the spear out of the Egyptian's hand, and slew him with his own spear. 
","he killed a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man, a great man,","And he made an attack on an Egyptian, a tall man: and the Egyptian had a spear in his hand; but he went down to him with a stick, and pulling the spear out of the hands of the Egyptian, put him to death with that same spear.
"
612,"These things did Benaiah the son of Jehoiada, and had a name among the three mighty men. 
","Benaiah the son of Jehoiada, and he had a name among the three great men.","These were the acts of Benaiah, the son of Jehoiada, who had a great name among the thirty men of war.
"
613,"He was more honorable than the thirty, but he attained not to the first three. And David set him over his guard.
","he was more honorable than the thirty, but he didn't get to the first three.","He was honoured over the rest of the thirty, but he was not equal to the first three. And David put him over the fighting men who kept him safe.
"
614,"Asahel the brother of Joab was one of the thirty; Elhanan the son of Dodo of Beth-lehem, 
","the thirty-six were Joab's brother Elhanan, son of Dolan.","Asahel, the brother of Joab, was one of the thirty; and Elhanan, the son of Dodai, of Beth-lehem,
"
615,"Shammah the Harodite, Elika the Harodite, 
","the Harodite, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika, Elika,","Shammah the Harodite, Elika the Harodite,
"
616,"Helez the Paltite, Ira the son of Ikkesh the Tekoite, 
","Ira the son of Ikesh, the Tekoite, Ira the son of Ikesh.","Helez the Paltite, Ira, the son of Ikkesh the Tekoite,
"
617,"Abiezer the Anathothite, Mebunnai the Hushathite, 
","Anathothite, Mebunnai, Hushathite, Anathothite, Mebunnai, Hushathite, Anathothite, Mebunnai, Hushathite, Anathothite, Mebunnai, Hushathite, Anathothite, Mebunnai, Hushathite, Anathothite, Mebunnai, Hushathite, Anathothite, Mebunn","Abiezer the Anathothite, Sibbecai the Hushathite,
"
618,"Zalmon the Ahohite, Maharai the Netophathite, 
","the Ahohite, the Netophathite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ahohite, the Ah","Zalmon the Ahohite, Maharai the Netophathite,
"
619,"Heleb the son of Baanah the Netophathite, Ittai the son of Ribai of Gibeah of the children of Benjamin, 
","the son of Baanah, the son of Ribai, the son of Gibeah, the children of Benjamin.","Heldai, the son of Baanah the Netophathite, Ittai, the son of Ribai of Gibeah of the children of Benjamin,
"
620,"Benaiah a Pirathonite, Hiddai of the brooks of Gaash. 
","Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash, Gaash","Benaiah the Pirathonite, Hiddai of the valleys of Gaash,
"
621,"Abi-albon the Arbathite, Azmaveth the Barhumite, 
","Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite, Azmaveth the Barhumite","Abiel the Arbathite, Azmaveth of Bahurim,
"
622,"Eliahba the Shaalbonite, the sons of Jashen, Jonathan, 
","Jasmine, the daughter of the Shaalbonite, the sons of Jashen, Jonathan,","Eliahba the Shaalbonite, Jashen the Gunite,
"
623,"Shammah the Hararite, Ahiam the son of Sharar the Ararite, 
","the Hararite, Ahiam, the son of the Ararite, the Ararite.","Jonathan, the son of Shammah the Hararite, Ahiam, the son of Sharar the Hararite,
"
624,"Eliphelet the son of Ahasbai, the son of the Maacathite, Eliam the son of Ahithophel the Gilonite, 
","the son of Ahasbai, the son of the Maacathite, Eliam, the son of Ahithophel, Gilonite.","Eliphelet, the son of Ahasbai the Maacathite, Eliam, the son of Ahithophel the Gilonite,
"
625,"Hezro the Carmelite, Paarai the Arbite, 
","the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Arbite, the Ar","Hezrai the Carmelite, Paarai the Archite,
"
626,"Igal the son of Nathan of Zobah, Bani the Gadite, 
","the son of Nathan, Bani Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite, the Gadite,","Igal, the son of Nathan of Zobah, Bani the Gadite,
"
627,"Zelek the Ammonite, Naharai the Beerothite, armorbearers to Joab the son of Zeruiah, 
","Ammonite, Naharai the Beerothite, the armor of Joab the son of Zeruiah,","Zelek the Ammonite, Naharai the Beerothite, who had the care of the arms of Joab, son of Zeruiah,
"
628,"Ira the Ithrite, Gareb the Ithrite, 
","Ira the Ithrite, Gareb the Ithrite,","Ira the Ithrite, Gareb the Ithrite,
"
629,Uriah the Hittite: thirty and seven in all.,the Hittite: 30 and seven.,"Uriah the Hittite: thirty-seven in number.
"
630,"When Israel went forth out of Egypt, The house of Jacob from a people of strange language;
",the house of Jacob from the people of the strange tongue;,"When Israel came out of Egypt, the children of Jacob from a people whose language was strange to them;
"
631,"Judah became his sanctuary, Israel his dominion.
","he became a refuge, Israel his territory.","Judah became his holy place, and Israel his kingdom.
"
632,"The sea saw it, and fled; The Jordan was driven back.
","the sea was running, and the Jordan was running away.","The sea saw it, and went in flight; Jordan was turned back.
"
633,"The mountains skipped like rams, The little hills like lambs.
","the mountains were like rams, the hills like lambs.","The mountains were jumping like goats, and the little hills like lambs.
"
634,"What aileth thee, O thou sea, that thou fleest? Thou Jordan, that thou turnest back?
","oh, Jordan, you're turning back, you sea?","What was wrong with you, O sea, that you went in flight? O Jordan, that you were turned back?
"
635,"Ye mountains, that ye skip like rams; Ye little hills, like lambs?
","the mountains, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills, the hills","You mountains, why were you jumping like goats, and you little hills like lambs?
"
636,"Tremble, thou earth, at the presence of the Lord, At the presence of the God of Jacob,
","the Lord's presence, the presence of God, the presence of God, the presence of God.","Be troubled, O earth, before the Lord, before the God of Jacob;
"
637,"Who turned the rock into a pool of water, The flint into a fountain of waters.","the stone was turned into a pool of water, and the stone was turned into a pool of water.","Who made the rock into a water-spring, and the hard stone into a fountain.
"
638,"Why are times not laid up by the Almighty? And why do not they that know him see his days?
",why don't they see the days of the Almighty?,"Why are times not stored up by the Ruler of all, and why do those who have knowledge of him not see his days?
"
639,"There are that remove the landmarks; They violently take away flocks, and feed them.
","they remove the landmarks; they're violently removing the flock, and they feed them.","The landmarks are changed by evil men, they violently take away flocks, together with their keepers.
"
640,"They drive away the ass of the fatherless; They take the widow's ox for a pledge.
","they take the fatherless, the widow's ox, and the promise of the widow.","They send away the ass of him who has no father, they take the widow's ox for debt.
"
641,"They turn the needy out of the way: The poor of the earth all hide themselves.
",the poor are hiding in the way of the poor: The poor are hiding in the way of the poor.,"The crushed are turned out of the way; all the poor of the earth go into a secret place together.
"
642,"Behold, as wild asses in the desert They go forth to their work, seeking diligently for food; The wilderness yieldeth them bread for their children.
","the desert is full of wild asses, looking for food, and the desert is full of bread for the kids.","Like asses in the waste land they go out to their work, looking for food with care; from the waste land they get bread for their children.
"
643,"They cut their provender in the field; And they glean the vintage of the wicked.
",they cut the grain in the field; they take the bad.,"They get mixed grain from the field, and they take away the late fruit from the vines of those who have wealth.
"
644,"They lie all night naked without clothing, And have no covering in the cold.
","they're naked all night, they don't have a coat, and they don't have a cover in the cold.","They take their rest at night without clothing, and have no cover in the cold.
"
645,"They are wet with the showers of the mountains, And embrace the rock for want of a shelter.
","the mountains are wet, the rocks are wet, and they're looking for shelter.","They are wet with the rain of the mountains, and get into the cracks of the rock for cover.
"
646,"There are that pluck the fatherless from the breast, And take a pledge of the poor;
","take the poor from the breast, and promise to give them a promise;","The child without a father is forced from its mother's breast, and they take the young children of the poor for debt.
"
647,"So that they go about naked without clothing, And being hungry they carry the sheaves.
","they're naked, hungry, and they carry the sheaves.","Others go about without clothing, and though they have no food, they get in the grain from the fields.
"
648,"They make oil within the walls of these men; They tread their winepresses, and suffer thirst.
",they drink oil in the walls of these men; they drink wine and drink.,"Between the lines of olive-trees they make oil; though they have no drink, they are crushing out the grapes.
"
649,"From out of the populous city men groan, And the soul of the wounded crieth out: Yet God regardeth not the folly.
","the people groaned, and the wounded groaned, but God did not care.","From the town come sounds of pain from those who are near death, and the soul of the wounded is crying out for help; but God does not take note of their prayer.
"
650,"These are of them that rebel against the light; They know not the ways thereof, Nor abide in the paths thereof.
","they know not the ways of the light, nor abide in the path thereof.","Then there are those who are haters of the light, who have no knowledge of its ways, and do not go in them.
"
651,"The murderer riseth with the light; He killeth the poor and needy; And in the night he is as a thief.
",the killer is rising with the light; he's killing the poor and needy.,"He who is purposing death gets up before day, so that he may put to death the poor and those in need.
"
652,"The eye also of the adulterer waiteth for the twilight, Saying, No eye shall see me: And he disguiseth his face.
","he waits for the twilight, and he says, ""No one will see me."" He's hiding his face.","And the man whose desire is for the wife of another is waiting for the evening, saying, No eye will see me; and he puts a cover on his face. And in the night the thief goes about;
"
653,"In the dark they dig through houses: They shut themselves up in the day-time; They know not the light.
","they dig in the dark, they don't know the light.","In the dark he makes holes in the walls of houses: in the daytime they are shutting themselves up, they have no knowledge of the light.
"
654,"For the morning is to all of them as thick darkness; For they know the terrors of the thick darkness.
","it's all the same for the morning, for they know the horror of the thick darkness.","For the middle of the night is as morning to them, they are not troubled by the fear of the dark.
"
655,"Swiftly they pass away upon the face of the waters; Their portion is cursed in the earth: They turn not into the way of the vineyards.
",they are quickly passed by the water; their part is cursed in the land: They don't go to the vineyard.,"They go quickly on the face of the waters; their heritage is cursed in the earth; the steps of the crusher of grapes are not turned to their vine-garden.
"
656,"Drought and heat consume the snow waters: So doth Sheol those that have sinned.
",so the snow water is consumed by drought and heat: So it is with those who have sinned.,"Snow waters become dry with the heat: so do sinners go down into the underworld.
"
657,"The womb shall forget him; The worm shall feed sweetly on him; He shall be no more remembered; And unrighteousness shall be broken as a tree.
",the womb will forget him; the worm will be happy to feed him; He will not remember him.,"The public place of his town has no more knowledge of him, and his name has gone from the memory of men: he is rooted up like a dead tree.
"
658,"He devoureth the barren that beareth not, And doeth not good to the widow.
","the barren is not good for the widow, and she doesn't do good to the widow.","He is not kind to the widow, and he has no pity for her child.
"
659,"Yet God preserveth the mighty by his power: He riseth up that hath no assurance of life.
","God's power is strong, and he will not be able to protect himself.","But God by his power gives long life to the strong; he gets up again, though he has no hope of life.
"
660,"God giveth them to be in security, and they rest thereon; And his eyes are upon their ways.
","he gives them security, and they rest there; and his eyes are on them.","He takes away his fear of danger and gives him support; and his eyes are on his ways.
"
661,"They are exalted; yet a little while, and they are gone; Yea, they are brought low, they are taken out of the way as all others, And are cut off as the tops of the ears of grain.
","they are exalted, but they are a little while, and they are gone, and they are taken away as the ears of grain.","For a short time they are lifted up; then they are gone; they are made low, they are pulled off like fruit, and like the heads of grain they are cut off.
"
662,"And if it be not so now, who will prove me a liar, And make my speech nothing worth?","who will prove me a liar, and I'm not worth anything?","And if it is not so, now, who will make it clear that my words are false, and that what I say is of no value?
"
663,"Bless Jehovah, O my soul; And all that is within me, bless his holy name.
","oh, my soul, and all my soul, bless the name of God.","&lt;Of David.&gt; Give praise to the Lord, O my soul; let everything in me give praise to his holy name.
"
664,"Bless Jehovah, O my soul, And forget not all his benefits:
","oh, my soul, forget not all the benefits of God:","Give praise to the Lord, O my soul; let not all his blessings go from your memory.
"
665,"Who forgiveth all thine iniquities; Who healeth all thy diseases;
",forgive me for all my sins; I have healed them.,"He has forgiveness for all your sins; he takes away all your diseases;
"
666,"Who redeemeth thy life from destruction; Who crowneth thee with lovingkindness and tender mercies;
",who will give you lovingkindness and kindness to your life;,"He keeps back your life from destruction, crowning you with mercy and grace.
"
667,"Who satisfieth thy desire with good things, So that thy youth is renewed like the eagle.
","you will be satisfied with good things, so that your youth will be rejuvenated like the eagle.","He makes your mouth full of good things, so that your strength is made new again like the eagle's.
"
668,"Jehovah executeth righteous acts, And judgments for all that are oppressed.
","Ezekiel's righteous deeds, and the judgments of all who suffer.","The Lord gives decisions in righteousness for all who are in trouble.
"
669,"He made known his ways unto Moses, His doings unto the children of Israel.
","he told Moses, the way he was doing it to the children of Israel.","He gave knowledge of his way to Moses, and made his acts clear to the children of Israel.
"
670,"Jehovah is merciful and gracious, Slow to anger, and abundant in lovingkindness.
","he is merciful and gracious, slow to anger, and generous in love.","The Lord is kind and full of pity, not quickly made angry, but ever ready to have mercy.
"
671,"He will not always chide; Neither will he keep his anger for ever.
","he won't always be angry, but he won't be able to keep his anger.","His feeling will no longer be bitter; he will not keep his wrath for ever.
"
672,"He hath not dealt with us after our sins, Nor rewarded us after our iniquities.
","he hasn't dealt with us after our sins, nor has he rewarded us for our sins.","He has not given us the punishment for our sins, or the reward of our wrongdoing.
"
673,"For as the heavens are high above the earth, So great is his lovingkindness toward them that fear him.
","he loves them so much that he fears him, as the sky is high above the ground.","For as the heaven is high over the earth, so great is his mercy to his worshippers.
"
674,"As far as the east is from the west, So far hath he removed our transgressions from us.
","so far as the east is from the west, we have removed our sins from them.","As far as the east is from the west, so far has he put our sins from us.
"
675,"Like as a father pitieth his children, So Jehovah pitieth them that fear him.
","as a father's father, he's afraid of his children, so Jehovah is afraid of them.","As a father has pity on his children, so the Lord has pity on his worshippers.
"
676,"For he knoweth our frame; He remembereth that we are dust.
","he knows our frame, he remembers we're dust.","For he has knowledge of our feeble frame; he sees that we are only dust.
"
677,"As for man, his days are as grass; As a flower of the field, so he flourisheth.
","he's a grass, like a flower in the field, so he's like a flower.","As for man, his days are as grass: his beautiful growth is like the flower of the field.
"
678,"For the wind passeth over it, and it is gone; And the place thereof shall know it no more.
","the wind is blowing over him, and he's gone; and the place will be no more.","The wind goes over it and it is gone; and its place sees it no longer.
"
679,"But the lovingkindness of Jehovah is from everlasting to everlasting upon them that fear him, And his righteousness unto children's children;
","for the love of God is eternal, and the love of the children of God is eternal.","But the mercy of the Lord is eternal for his worshippers, and their children's children will see his righteousness;
"
680,"To such as keep his covenant, And to those that remember his precepts to do them.
","to those who remember the commandments, to do them.","If they keep his agreement, and have his laws in mind to do them.
"
681,"Jehovah hath established his throne in the heavens; And his kingdom ruleth over all.
",Ezekiah's throne is in the sky; and his kingdom is over all.,"The Lord has made ready his high seat in the heavens; his kingdom is ruling over all.
"
682,"Bless Jehovah, ye his angels, That are mighty in strength, that fulfil his word, Hearkening unto the voice of his word.
","oh, my God, the angels, the mighty ones, the ones who fulfill the word, they're listening to the voice of God.","Give praise to the Lord, you his angels, who are great in strength, doing his orders, and waiting for his voice.
"
683,"Bless Jehovah, all ye his hosts, Ye ministers of his, that do his pleasure.
","oh, my God, all his hosts, the ministers of his, who are pleased with him.","Give praise to the Lord, all you his armies; and you his servants who do his pleasure.
"
684,"Bless Jehovah, all ye his works, In all places of his dominion: Bless Jehovah, O my soul.","for God's sake, all his works, all over the kingdom: Bless God, my soul.","Give praise to the Lord, all his works, in all places under his rule: give praise to the Lord, O my soul.
"
685,"And Bezalel and Oholiab shall work, and every wise-hearted man, in whom Jehovah hath put wisdom and understanding to know how to work all the work for the service of the sanctuary, according to all that Jehovah hath commanded.
","all wise men, who know how to work, will be able to do all the work for the service of the shrine, according to all that God has commanded them.","So let Bezalel and Oholiab get to work, with every wise-hearted man to whom the Lord has given wisdom and knowledge, to do whatever is necessary for the ordering of the holy place, as the Lord has given orders.
"
