,YLT_Original,YLT_Paraphrased,DRA_Original
417,"For Thou knowest that I am not wicked, And there is no deliverer from Thy hand.
","you know I'm not evil, and I'm not going to be a savior.","And shouldst know that I have done no wicked thing, whereas there is no man that can deliver out of thy hand.
"
418,"Thy hands have taken pains about me, And they make me together round about, And Thou swallowest me up!
","I'm in pain, and my hands are hurting me, and you're hurting me!","Thy hands have made me, and fashioned me wholly round about, and dost thou thus cast me down headlong on a sudden?
"
419,"Remember, I pray Thee, That as clay Thou hast made me, And unto dust Thou dost bring me back.
","I beg you, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please, please,","Remember, I beseech thee, that thou hast made me as the clay, and thou wilt bring me into dust again.
"
420,"Dost Thou not as milk pour me out? And as cheese curdle me?
","and as a cheese curdle, do you want me to go?","Hast thou not milked me as milk, and curdled me like cheese?
"
421,"Skin and flesh Thou dost put on me, And with bones and sinews dost fence me.
","you're gonna put me on you, and you're gonna fence me with bones and sinews.","Thou hast clothed me with skin and flesh: thou hast put me together with bones and sinews:
"
422,"Life and kindness Thou hast done with me. And Thy inspection hath preserved my spirit.
",you've done me a favor and I've preserved my spirit.,"Thou hast granted me life and mercy, and thy visitation hath preserved my spirit.
"
423,"And these Thou hast laid up in Thy heart, I have known that this  with Thee.
",I knew it with you in your heart.,"Although thou conceal these things in thy heart, yet I know that thou rememberest all things.
"
424,"If I sinned, then Thou hast observed me, And from mine iniquity dost not acquit me,
","if I sin, you don't forgive me, but you're not gonna forgive me, so I'm sorry.","If I have sinned and thou hast spared me for an hour: why dost thou not suffer me to be clean from my iniquity?
"
425,"If I have done wickedly -- wo to me, And righteously -- I lift not up my head, Full of shame -- then see my affliction,
",I'm doing bad -- I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed -- then I'm ashamed --,"And if I be wicked, woe unto me: and if just, I shall not lift up my head, being filled with affliction and misery.
"
426,"And it riseth -- as a lion Thou huntest me. And Thou turnest back -- Thou shewest Thyself wonderful in me.
","you're going to hunt me like a lion, and you're going to turn around and you're gonna look great.","And for pride thou wilt take me as a lioness, and returning thou tormentest me wonderfully.
"
427,"Thou renewest Thy witnesses against me, And dost multiply Thine anger with me, Changes and warfare  with me.
","you're renewing my witnesses, and you're multiplying my anger.","Thou renewest thy witnesses against me, and multipliest thy wrath upon me, and pains war against me.
"
428,"And why from the womb Hast Thou brought me forth? I expire, and the eye doth not see me.
","why did you bring me here? I'm dying, and the eye doesn't see me.","Why didst thou bring me forth out of the womb: O that I had been consumed that eye might not see me!
"
429,"As I had not been, I am, From the belly to the grave I am brought,
","I'm brought to the grave, from the belly to the grave.","I should have been as if I had not been, carried from the womb to the grave.
"
430,"Are not my days few? Cease then, and put from me, And I brighten up a little,
","I'm not going to be a little, and I'll be a little happy, and I'll be happy.","Shall not the fewness of my days be ended shortly? suffer me, therefore, that I may lament my sorrow a little:
"
431,"Before I go, and return not, Unto a land of darkness and death-shade,
","I'll go, and I'll return, not to the dark and death.","Before I go, and return no more, to a land that is dark and covered with the mist of death:
"
432,"A land of obscurity as thick darkness, Death-shade -- and no order, And the shining  as thick darkness.'","the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark, the dark,","A land of misery and darkness, where the shadow of death, and no order, but everlasting horror dwelleth."
433,"A Psalm. -- A song of the dedication of the house of David. I exalt Thee, O Jehovah, For Thou hast drawn me up, and hast not let mine enemies rejoice over me.
",Psalm. -- A song of David's dedication to God. I'm glad you didn't let my enemies celebrate me.,"Unto the end, a psalm for David, in an ecstasy.
"
434,"Jehovah my God, I have cried to Thee, And Thou dost heal me.
","oh, my God, I'm crying to you, and you're gonna save me.","In thee, O Lord, have I hoped, let me never be confounded: deliver me in thy justice.
"
435,"Jehovah, Thou hast brought up from Sheol my soul, Thou hast kept me alive, From going down  the pit.
","you brought me to Sheol, you saved my soul, you've kept me alive.","Bow down thy ear to me: make haste to deliver me. Be thou unto me a God, a protector, and a house of refuge, to save me.
"
436,"Sing praise to Jehovah, ye His saints, And give thanks at the remembrance of His holiness,
","thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God, thank God,","For thou art my strength and my refuge; and for thy name's sake thou wilt lead me, and nourish me.
"
437,"For -- a moment  in His anger, Life  in His good-will, At even remaineth weeping, and at morn singing.
","for a moment, Life's anger, his good will, and at dawn he will weep.","Thou wilt bring me out of this snare, which they have hidden for me: for thou art my protector.
"
438,"And I -- I have said in mine ease, `I am not moved -- to the age.
","""I'm not moving - I'm not moving - I'm not moving - I'm not moving.","Into thy hands I commend my spirit: thou hast redeemed me, O Lord, the God of truth.
"
439,"O Jehovah, in Thy good pleasure, Thou hast caused strength to remain for my mountain,' Thou hast hidden Thy face -- I have been troubled.
","oh, my God, you've done it to my mountain, you hid your face, I was worried.","Thou hast hated them that regard vanities, to no purpose. But I have hoped in the Lord:
"
440,"Unto Thee, O Jehovah, I call, And unto Jehovah I make supplication.
","to the Lord, I beg you, and I beg you to pray to God.","I will be glad and rejoice in thy mercy. For thou hast regarded my humility, thou hast saved my soul out of distresses.
"
441,"`What gain  in my blood? In my going down unto corruption? Doth dust thank Thee? doth it declare Thy truth?
",what's the price of my blood? What's the price of my soul?,"And thou hast not shut me up in the hands of the enemy: thou hast set my feet in a spacious place.
"
442,"Hear, O Jehovah, and favour me, O Jehovah, be a helper to me.'
","oh, my God, and I'm going to help you, O God.","Have mercy on me, O Lord, for I am afflicted: my eye is troubled with wrath, my soul, and my belly:
"
443,"Thou hast turned my mourning to dancing for me, Thou hast loosed my sackcloth, And girdest me  joy.
","you've turned my mourning into a dance, and you've released my robe.","For my life is wasted with grief: and my years in sighs. My strength is weakened through poverty and my bones are disturbed.
"
444,"So that honour doth praise Thee, and is not silent, O Jehovah, my God, to the age I thank Thee!","it's a shame, my God, that honor is not silent, O God!","I am become a reproach among all my enemies, and very much to my neighbours; and a fear to my acquaintance. They that saw me without fled from me."
445,"`There is not to the priests the Levites -- all the tribe of Levi -- a portion and inheritance with Israel; fire-offerings of Jehovah, even His inheritance, they eat,
","the priests are not the Levites - all the Levites of the tribe of Levi - a part and inheritance of Israel; fire-worshipers of God, even their inheritance.","The priests and Levites, and all that are of the same tribe, shall have no part nor inheritance with the rest of Israel, because they shall eat the sacrifices of the Lord, and his oblations,
"
446,"and he hath no inheritance in the midst of his brethren; Jehovah Himself  his inheritance, as He hath spoken to him.
","he has no inheritance in the midst of his brothers, as he has told him.","And they shall receive nothing else. of the possession of their brethren: for the Lord himself is their inheritance, as he hath said to them.
"
447,"`And this is the priest's right from the people, from those sacrificing a sacrifice, whether ox or sheep, he hath even given to the priest the leg, and the two cheeks, and the stomach;
","the priest has given the priest a leg, and the two cheeks, and the stomach, and the stomach; and he gave the priest the leg.","This shall be the priest's due from the people, and from them that offer victims: whether they sacrifice an ox, or a sheep, they shall give to the priest the shoulder and the breast:
"
448,"the first of thy corn, of thy new wine, and of thine oil, and the first of the fleece of thy flock, thou dost give to him;
","you give him the first of your corn, the new wine, and the oil of your flock.","The firstfruits also of corn, of wine, and of oil, and a part of the wool from the shearing of their sheep.
"
449,"for on him hath Jehovah thy God fixed, out of all thy tribes, to stand to serve in the name of Jehovah, He and his sons continually.
","he's got a God in his name, and his sons will serve him in the name of God.","For the Lord thy God hath chosen him of all thy tribes, to stand and to minister to the name of the Lord, him and his sons for ever.
"
450,"`And when the Levite cometh from one of thy cities out of all Israel, where he hath sojourned, and hath come with all the desire of his soul unto the place which Jehovah doth choose,
","when the Levite comes from one of your cities, where he's been, and he's come to the place where God chooses, and he's got all his soul in the place where God chooses,","If a Levite go out of any one of the cities throughout all Israel, in which he dwelleth, and have a longing mind to come to the place which the Lord shall choose,
"
451,"then he hath ministered in the name of Jehovah his God, like all his brethren, the Levites, who are standing there before Jehovah,
","like all his brothers, the Levites, who stand before God, he has ministered to him in the name of God.","He shall minister in the name of the Lord his God, as all his brethren the Levites do, that shall stand at that time before the Lord.
"
452,"portion as portion they do eat, apart from his sold things, with the fathers.
","with the father, he eats the food, but he doesn't eat anything else.","He shall receive the same portion of food that the rest do: besides that which is due to him in his own city, by succession from his fathers.
"
453,"`When thou art coming in unto the land which Jehovah thy God is giving to thee, thou dost not learn to do according to the abominations of those nations:
",you don't learn to do what the abominations of those nations are in the land you're in.,"When thou art come into the land which the Lord thy God shall give thee, beware lest thou have a mind to imitate the abominations of those nations.
"
454,"there is not found in thee one causing his son and his daughter to pass over into fire, a user of divinations, an observer of clouds, and an enchanter, and a sorcerer,
","a user of divinations, an observer of clouds, and a wizard, and a sorcerer, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard, and a wizard","Neither let there be found among you any one that shall expiate his son or daughter, making them to pass through the fire: or that consulteth soothsayers, or observeth dreams and omens, neither let there be any wizard,
"
455,"and a charmer, and one asking at a familiar spirit, and a wizard, and one seeking unto the dead.
","a charmer, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a wizard, a","Nor charmer, nor any one that consulteth pythonic spirits, or fortune tellers, or that seeketh the truth from the dead.
"
456,"`For the abomination of Jehovah  every one doing these, and because of these abominations is Jehovah thy God dispossessing them from thy presence.
","for the abomination of Jehovah, every one who does it, and for the abomination of Jehovah, he will be God's wrath.","For the Lord abhorreth all these things, and for these abominations he will destroy them at thy coming.
"
457,"Perfect thou art with Jehovah thy God,
","you're a God of God, you're a God of God, you're a God of God.","Thou shalt be perfect, and without spot before the Lord thy God.
"
458,"for these nations whom thou art possessing, unto observers of clouds, and unto diviners, do hearken; and thou -- not so hath Jehovah thy God suffered thee.
","hearken, and he - not so did God suffer you, for the clouds and the diviners, and the observers of the clouds.","These nations, whose land thou shalt possess, hearken to soothsayers and diviners: but thou art otherwise instructed by the Lord thy God.
"
459,"`A prophet out of thy midst, out of thy brethren, like to me, doth Jehovah thy God raise up to thee -- unto him ye hearken;
","Jehovah your God will raise you up like me, like me, like your brothers, like me.","The Lord thy God will raise up to thee a PROPHET of thy nation and of thy brethren like unto me: him thou shalt hear:
"
460,"according to all that thou didst ask from Jehovah thy God, in Horeb, in the day of the assembly, saying, Let me not add to hear the voice of Jehovah my God, and this great fire let me not see any more, and I die not;
","when you asked for the God of your God, in Horeb, in the day of the assembly, you said, ""Let me not be seen by God's voice.""","As thou desiredst of the Lord thy God in Horeb, when the assembly was gathered together, and saidst: Let me not hear any more the voice of the Lord my God, neither let me see any more this exceeding great fire, lest I die.
"
461,"and Jehovah saith unto me, They have done well that they have spoken;
","Jehovah said to me, They've done well to speak;","And the Lord said to me: They have spoken all things well.
"
462,"a prophet I raise up to them, out of the midst of their brethren, like to thee; and I have given my words in his mouth, and he hath spoken unto them all that which I command him;
","I have spoken to them all I commanded them, as you did to me, and he spoke to them as I commanded him; and I have spoken to them as I commanded him.","I will raise them up a prophet out of the midst of their brethren like to thee: and I will put my words in his mouth, and he shall speak to them all that I shall command him.
"
463,"and it hath been -- the man who doth not hearken unto My words which he doth speak in My name, I require  of him.
","I demand him -- the man who doesn't listen to my words he doesn't hear in my name, I'm asking him.","And he that will not hear his words, which he shall speak in my name, I will be the revenger.
"
464,"`Only, the prophet who presumeth to speak a word in My name -- that which I have not commanded him to speak -- and who speaketh in the name of other gods -- even that prophet hath died.
","only, the prophet who speaks in my name -- that which I have not commanded him to say -- and who speaks in the name of another god -- he's dead.","But the prophet, who being corrupted with pride, shall speak in my name things that I did not command him to say, or in the name of strange gods, shall be slain.
"
465,"`And when thou sayest in thy heart, How do we know the word which Jehovah hath not spoken? --
","when you say, How do we know the word that Jehovah hasn't spoken? --","And if in silent thought thou answer: How shall I know the word that the Lord hath not spoken?
"
466,"that which the prophet speaketh in the name of Jehovah, and the thing is not, and cometh not -- it  the word which Jehovah hath not spoken; in presumption hath the prophet spoken it; -- thou art not afraid of him.","the thing is not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's not, and it's","Thou shalt have this sign: Whatsoever that same prophet foretelleth in the name of the Lord, and it cometh not to pass: that thing the Lord hath not spoken, but the prophet hath forged it by the pride of his mind: and therefore thou shalt not fear him."
467,"And the man knew Eve his wife, and she conceiveth and beareth Cain, and saith, `I have gotten a man by Jehovah;'
","he knew Eve's wife, and she was pregnant with Cain, and he said, ""I've got a guy from God.""","And Adam knew Eve his wife: who conceived and brought forth Cain, saying: I have gotten a man through God.
"
468,"and she addeth to bear his brother, even Abel. And Abel is feeding a flock, and Cain hath been servant of the ground.
","Abel is a brother, even Abel, and he's a servant of the ground.","And again she brought forth his brother Abel. And Abel was a shepherd, and Cain a husbandman.
"
469,"And it cometh to pass at the end of days that Cain bringeth from the fruit of the ground a present to Jehovah;
","in the end, when the fruit of the ground is brought to the altar of God, it will be the end of the world;","And it came to pass after many days, that Cain offered, of the fruits of the earth, gifts to the Lord.
"
470,"and Abel, he hath brought, he also, from the female firstlings of his flock, even from their fat ones; and Jehovah looketh unto Abel and unto his present,
","Abel, he brought his fat, from the women's flock, and Jehovah looked at Abel and his wife, and he looked at the fat.","Abel also offered of the firstlings of his flock, and of their fat: and the Lord had respect to Abel, and to his offerings.
"
471,"and unto Cain and unto his present He hath not looked; and it is very displeasing to Cain, and his countenance is fallen.
","Cain and his face is turned away, and he is very displeased with him.","But to Cain and his offerings he had no respect: and Cain was exceedingly angry, and his countenance fell.
"
472,"And Jehovah saith unto Cain, `Why hast thou displeasure? and why hath thy countenance fallen?
","""why are you angry with me?"" And he said to Cain, ""Why are you angry with me?""","And the Lord said to him: Why art thou angry? and why is thy countenance fallen?
"
473,"Is there not, if thou dost well, acceptance? and if thou dost not well, at the opening a sin-offering is crouching, and unto thee its desire, and thou rulest over it.'
","if you do well, you'll be able to accept, and if you don't, you'll be able to accept.","If thou do well, shalt thou not receive? but if ill, shall not sin forthwith be present at the door? but the lust thereof shall be under thee, and thou shalt have dominion over it.
"
474,"And Cain saith unto Abel his brother, [`Let us go into the field;'] and it cometh to pass in their being in the field, that Cain riseth up against Abel his brother, and slayeth him.
","""let us go to the field,"" said Cain to Abel's brother, ""and it will be over with them."" And it will be over with them, and Cain will be killed by Abel's brother.","And Cain said to Abel his brother: Let us go forth abroad. And when they were in the field, Cain rose up against his brother Abel, and slew him.
"
475,"And Jehovah saith unto Cain, `Where  Abel thy brother?' and he saith, `I have not known; my brother's keeper -- I?'
","""where Abel's brother is?"" He asked, and he said, ""I don't know, my brother's keeper.""","And the Lord said to Cain: Where is thy brother Abel? And he answered, I know not: am I my brother's keeper?
"
476,"And He saith, `What hast thou done? the voice of thy brother's blood is crying unto Me from the ground;
","""what have you done with your brother's blood? He's crying out from the ground,"" He said.","And he said to him: What hast thou done? the voice of thy brother's blood crieth to me from the earth.
"
477,"and now, cursed  thou from the ground, which hath opened her mouth to receive the blood of thy brother from thy hand;
","from the ground, which opened her mouth to take blood from your brother's hand, cursed you.","Now, therefore, cursed shalt thou be upon the earth, which hath opened her mouth and received the blood of thy brother at thy hand.
"
478,"when thou tillest the ground, it doth not add to give its strength to thee -- a wanderer, even a trembling one, thou art in the earth.'
","""you don't add strength to the ground, even a trembling one, until you've got the ground. ""","When thou shalt till it, it shall not yield to thee its fruit: a fugitive and a vagabond shalt thou be upon the earth.
"
479,"And Cain saith unto Jehovah, `Greater is my punishment than to be borne;
","""greater punishment than I can bear,"" said Cain.","And Cain said to the Lord: My iniquity is greater than that I may deserve pardon.
"
480,"lo, Thou hast driven me to-day from off the face of the ground, and from Thy face I am hid; and I have been a wanderer, even a trembling one, in the earth, and it hath been -- every one finding me doth slay me.'
","I was on the ground, and I was trembling, and I was on the ground, and I was trembling, and I was on the ground, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was trembling, and I was","Behold thou dost cast me out this day from the face of the earth, and I shall be hidden from thy face, and I shall be a vagabond and a fugitive on the earth: every one, therefore, that findeth me, shall kill me.
"
481,"And Jehovah saith to him, `Therefore -- of any slayer of Cain sevenfold it is required;' and Jehovah setteth to Cain a token that none finding him doth slay him.
","""so -- if any of the killers of Cain are sevenfold, it's necessary to kill him; ""and Jehovah will give him a token that none of them will find him.","And the Lord said to him: No, it shall not be so: but whosoever shall kill Cain, shall be punished sevenfold. And the Lord set a mark upon Cain, that whosoever found him should not kill him.
"
482,"And Cain goeth out from before Jehovah, and dwelleth in the land, moving about east of Eden;
","Cain is going to the east, and he's going to the east, and he's going to the east.","And Cain went out from the face of the Lord, and dwelt as a fugitive on the earth, at the east side of Eden.
"
483,"and Cain knoweth his wife, and she conceiveth, and beareth Enoch; and he is building a city, and he calleth the name of the city, according to the name of his son -- Enoch.
","Cain knew his wife, and she was pregnant, and she gave birth to Enoch, and he called the city, Enoch.","And Cain knew his wife, and she conceived, and brought forth Henoch: and he built a city, and called the name thereof by the name of his son Henoch.
"
484,"And born to Enoch is Irad; and Irad hath begotten Mehujael; and Mehujael hath begotten Methusael; and Methusael hath begotten Lamech.
","Ira, Enoch, Irad, Mehujael, and Mehujael, Methusael, and Methusael, Lamech.","And Henoch begot Irad, and Irad begot Maviael, and Maviael begot Mathusael, and Mathusael begot Lamech:
"
485,"And Lamech taketh to himself two wives, the name of the one Adah, and the name of the second Zillah.
","Lamech's wife, the name of the one Adah, and the name of the other Zillah.","Who took two wives: the name of the one was Ada, and the name of the other Sella.
"
486,"And Adah beareth Jabal, he hath been father of those inhabiting tents and purchased possessions;
","Adah's father, he's a father of the tents and the purchase of property;","And Ada brought forth Jabel: who was the father of such as dwell in tents, and of herdsmen.
"
487,"and the name of his brother  Jubal, he hath been father of every one handling harp and organ.
","he's got all his brothers and sisters, his father's name Jubal, he's got everything.","And his brother's name was Jubal; he was the father of them that play upon the harp and the organs.
"
488,"And Zillah she also bare Tubal-Cain, an instructor of every artificer in brass and iron; and a sister of Tubal-Cain  Naamah.
","she also had a sister of Naamah, a teacher of all brass and iron.","Sella also brought forth Tubalcain, who was a hammerer and artificer in every work of brass and iron. And the sister of Tubalcain was Noema.
"
489,"And Lamech saith to his wives: -- `Adah and Zillah, hear my voice; Wives of Lamech, give ear  my saying: For a man I have slain for my wound, Even a young man for my hurt;
","""Adah and Zillah, hear me, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife, my wife,","And Lamech said to his wives Ada and Sella: Hear my voice, ye wives of Lamech, hearken to my speech: for I have slain a man to the wounding of myself, and a stripling to my own bruising.
"
490,"For sevenfold is required for Cain, And for Lamech seventy and sevenfold.'
","Cain, Lamech, and seventy-seven times. ""","Sevenfold vengeance shall be taken for Cain: but for Lamech seventy times sevenfold.
"
491,"And Adam again knoweth his wife, and she beareth a son, and calleth his name Seth, `for God hath appointed for me another seed instead of Abel:' for Cain had slain him.
","Adam's wife, who is named Seth, is the same as Abel's wife, and she bears a son.","Adam also knew his wife again: and she brought forth a son, and called his name Seth, saying: God hath given me another seed, for Abel whom Cain slew.
"
492,"And to Seth, to him also a son hath been born, and he calleth his name Enos; then a beginning was made of preaching in the name of Jehovah.","Seth, the son of Enos, was born to him, and he called himself Enos.","But to Seth also was born a son, whom he called Enos; this man began to call upon the name of the Lord."
493,"And I make known to you, brethren, the good news that I proclaimed to you, which also ye did receive, in which also ye have stood,
","brothers, I'm telling you the good news that I've told you, which you've also received, and you've stood by.","Now I make known unto you, brethren, the gospel which I preached to you, which also you have received, and wherein you stand;
"
494,"through which also ye are being saved, in what words I proclaimed good news to you, if ye hold fast, except ye did believe in vain,
","if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you don't believe in vain, if you","By which also you are saved, if you hold fast after what manner I preached unto you, unless you have believed in vain.
"
495,"for I delivered to you first, what also I did receive, that Christ died for our sins, according to the Writings,
","I've been given the first, what I've done to you, the death of Christ, according to the Bible,","For I delivered unto you first of all, which I also received: how that Christ died for our sins, according to the scriptures:
"
496,"and that he was buried, and that he hath risen on the third day, according to the Writings,
","according to the Writings, he was buried, and he was taken up on the third day.","And that he was buried, and that he rose again the third day, according to the scriptures:
"
497,"and that he appeared to Cephas, then to the twelve,
","then to the twelve, then to the twelve, then to the twelve, then to the twelve, then to the twelve, then to the twelve, then to the twelve, then to the twelve, then to the 12.","And that he was seen by Cephas; and after that by the eleven.
"
498,"afterwards he appeared to above five hundred brethren at once, of whom the greater part remain till now, and certain also did fall asleep;
","then he appeared to be over five hundred men, and the rest of them fell asleep;","Then he was seen by more than five hundred brethren at once: of whom many remain until this present, and some are fallen asleep.
"
499,"afterwards he appeared to James, then to all the apostles.
","then he appeared to James, then to all the apostles.","After that, he was seen by James, then by all the apostles.
"
500,"And last of all -- as to the untimely birth -- he appeared also to me,
","he looked at me with a look of surprise, as if he had just been born.","And last of all, he was seen also by me, as by one born out of due time.
"
501,"for I am the least of the apostles, who am not worthy to be called an apostle, because I did persecute the assembly of God,
","I'm the least of the apostles, who don't deserve to be called an apostle, because I've done something wrong to the assembly of God.","For I am the least of the apostles, who am not worthy to be called an apostle, because I persecuted the church of God.
"
502,"and by the grace of God I am what I am, and His grace that  towards me came not in vain, but more abundantly than they all did I labour, yet not I, but the grace of God that  with me;
","I've done what I've done, and God's grace that I'm what I'm like, and I didn't even have to work, but God's grace that I'm what I'm like, and I'm not like them, but God's grace that I'm what I'm like.","But by the grace of God, I am what I am; and his grace in me hath not been void, but I have laboured more abundantly than all they: yet not I, but the grace of God with me.
"
503,"whether, then, I or they, so we preach, and so ye did believe.
","then I'm telling you, and you believed it, so you did.","For whether I, or they, so we preach, and so you have believed.
"
504,"And if Christ is preached, that out of the dead he hath risen, how say certain among you, that there is no rising again of dead persons?
",how do you know that there's no resurrection of the dead?,"Now if Christ be preached, that he arose again from the dead, how do some among you say, that there is no resurrection of the dead?
"
505,"and if there be no rising again of dead persons, neither hath Christ risen;
","if there's no more dead, neither will Christ rise.","But if there be no resurrection of the dead, then Christ is not risen again.
"
506,"and if Christ hath not risen, then void  our preaching, and void also your faith,
","if God doesn't come, then we won't preach, and we won't believe you.","And if Christ be not risen again, then is our preaching vain, and your faith is also vain.
"
507,"and we also are found false witnesses of God, because we did testify of God that He raised up the Christ, whom He did not raise if then dead persons do not rise;
","we also have false witnesses to God, because we have testified to God that he raised the Lord, who he did not raise if he had died.","Yea, and we are found false witnesses of God: because we have given testimony against God, that he hath raised up Christ; whom he hath not raised up, if the dead rise not again.
"
508,"for if dead persons do not rise, neither hath Christ risen,
","if the dead don't rise, neither will Christ be born.","For if the dead rise not again, neither is Christ risen again.
"
509,"and if Christ hath not risen, vain is your faith, ye are yet in your sins;
","if the Lord doesn't come, your faith is useless, you're still in the sin.","And if Christ be not risen again, your faith is vain, for you are yet in your sins.
"
510,"then, also, those having fallen asleep in Christ did perish;
","and the ones who fell asleep in the Lord's death, they died.","Then they also that are fallen asleep in Christ, are perished.
"
511,"if in this life we have hope in Christ only, of all men we are most to be pitied.
","we are most pitied in this life, for we hope for the salvation of all men.","If in this life only we have hope in Christ, we are of all men most miserable.
"
512,"And now, Christ hath risen out of the dead -- the first-fruits of those sleeping he became,
","the first fruits of the dead were the first to rise, the first to wake up.","But now Christ is risen from the dead, the firstfruits of them that sleep:
"
513,"for since through man  the death, also through man  a rising again of the dead,
","since the death of the dead, the dead have risen again, and the dead have risen again.","For by a man came death, and by a man the resurrection of the dead.
"
514,"for even as in Adam all die, so also in the Christ all shall be made alive,
","as in Adam, so in the Christ, all die.","And as in Adam all die, so also in Christ all shall be made alive.
"
515,"and each in his proper order, a first-fruit Christ, afterwards those who are the Christ's, in his presence,
","in the presence of Christ, the first fruit of the fruit of the tree, then the Christ himself, in the presence of God.","But every one in his own order: the firstfruits Christ, then they that are of Christ, who have believed in his coming.
"
516,"then -- the end, when he may deliver up the reign to God, even the Father, when he may have made useless all rule, and all authority and power --
","when he's done with the throne, even the Father, when he's not able to do anything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything, and everything,","Afterwards the end, when he shall have delivered up the kingdom to God and the Father, when he shall have brought to nought all principality, and power, and virtue.
"
517,"for it behoveth him to reign till he may have put all the enemies under his feet --
",he must be ruled until he can destroy all enemies --,"For he must reign, until he hath put all his enemies under his feet.
"
518,"the last enemy is done away -- death;
",death to the last enemy -- death;,"And the enemy death shall be destroyed last: For he hath put all things under his feet. And whereas he saith,
"
519,"for all things He did put under his feet, and, when one may say that all things have been subjected, [it is] evident that He is excepted who did subject the all things to him,
","it is clear that He is not excluded from the things He has done to him, and, when one can say that everything has been taken, it is clear that He is not excluded.","All things are put under him; undoubtedly, he is excepted, who put all things under him.
"
520,"and when the all things may be subjected to him, then the Son also himself shall be subject to Him, who did subject to him the all things, that God may be the all in all.
","when everything is subject to him, then the Son himself is subject to him, who has taken everything, that God may be all in all.","And when all things shall be subdued unto him, then the Son also himself shall be subject unto him that put all things under him, that God may be all in all.
"
521,"Seeing what shall they do who are baptized for the dead, if the dead do not rise at all? why also are they baptized for the dead?
",why are they baptized for the dead?,"Otherwise what shall they do that are baptized for the dead, if the dead rise not again at all? why are they then baptized for them?
"
522,"why also do we stand in peril every hour?
",and every hour of the hour is dangerous?,"Why also are we in danger every hour?
"
523,"Every day do I die, by the glorying of you that I have in Christ Jesus our Lord:
","by the glory of God, I'm dying every day, by your grace.","I die daily, I protest by your glory, brethren, which I have in Christ Jesus our Lord.
"
524,"if after the manner of a man with wild beasts I fought in Ephesus, what the advantage to me if the dead do not rise? let us eat and drink, for to-morrow we die!
","what if the dead don't rise tomorrow? Let's eat and drink, for tomorrow we'll be dead!","If (according to man) I fought with beasts at Ephesus, what doth it profit me, if the dead rise not again? Let us eat and drink, for to morrow we shall die.
"
525,"Be not led astray; evil communications corrupt good manners;
",bad communications corrupt good manners; bad manners corrupt good manners;,"Be not seduced: Evil communications corrupt good manners.
"
526,"awake up, as is right, and sin not; for certain have an ignorance of God; for shame to you I say .
","as I say, it's not a sin, but a sin, for shame to you.","Awake, ye just, and sin not. For some have not the knowledge of God, I speak it to your shame.
"
527,"But some one will say, `How do the dead rise?
","""how does the dead rise?"" Someone will say.","But some man will say: How do the dead rise again? or with what manner of body shall they come?
"
528,"unwise! thou -- what thou dost sow is not quickened except it may die;
","you -- what you're doing is not quick, but it's not quick to die.","Senseless man, that which thou sowest is not quickened, except it die first.
"
