,original,paraphrase,output,output_reference
485,"And Arcite is exiled on threat of losing his head
",Arcite is threatened with losing his head for the sake of his head., Arcite is threatened with losing his head for the sake of his head.,"And Arcite is exiled upon his heed
"
486,"For evermore, out of that country,
","from the country, from the country, from the country, from the country, from the country, from the..."," From the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country, from the country,","e          For everemo, as out of that contree,
"
487,"Nor nevermore shall see his lady.
",he never saw his lady again., He never saw her again.,"Ne nevere mo ne shal his lady see.
"
488,"Yow lovers now I ask this question:
",I'm asking you: What do you think the lovers are?, I ask thee: What do ye think the lovers are?,"Yow loveres axe I now this questioun:
"
489,"Who has the worse, Arcite or Palamon?
","who's worse, Arcite or Palamon?"," Who worse, Arcite or Palamon?","Who hath the worse, Arcite or Palamoun?
"
490,"That one may see his lady every day,
","every day, he sees his wife."," Every day, he sees his wife.","That oon may seen his lady day by day,
"
491,"But in prison he must always dwell;
",he must always be in prison;, He must always be in prison;,"But in prison he moot dwelle alway;
"
492,"That other where he pleases may ride or walk,
",he can ride or walk wherever he likes., He can ride or walk wherever he likes.,"That oother wher hym list may ride or go,
"
493,"But he shall see his lady nevermore.
",he's never gonna see his lady again., He never shall see his lady again.,"But seen his lady shal he nevere mo.
"
494,"Now judge as it pleases you, you who know (of such things),
","you know what I mean, you know what I mean, you know what I mean, you know what I mean, you know..."," You know what I mean, you know what I mean, you know what I mean, you know what I mean, you know what I mean, you know what I mean, you know what I mean, you know what I mean, you know what I mean","Now demeth as yow liste, ye that kan,
"
495,"For I will tell forth as I began.
",I'll tell you what I started., I'll tell you what I started.,"For I wol telle forth as I bigan.
"
496,"When Arcite was come to Thebes,
",the Arcite was taken to the Thebes by the Thebesians., The Arcite was taken to the Thebes by Thebesians.,"Whan that Arcite to Thebes comen was,
"
497,"Very often each day he grew faint and said ""Alas!""
","he often said ""Alas!"" and fell silent."," He often said ""Alas!"" and fell silent.","Ful ofte a day he swelte and seyde ""Allas!""
"
498,"For he shall never more see his lady.
",he's never seen his lady again., Never seen his lady.,"For seen his lady shal he nevere mo.
"
499,"And shortly to conclude (telling) all his woe,
","soon to be finished (to tell) all the bad news,"," Soon to be finished (to tell) all the bad news,","And shortly to concluden al his wo,
"
500,"So much sorrow never had creature
",there was no creature in the world that had ever suffered such a thing., There was no creature that had ever suffered such a thing as this.,"So muche sorwe hadde nevere creature
"
501,"That is, or shall (be), while the world may endure.
","and that's true, or it's not, or it's not, or it's not."," And that's true, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it's not, or it","That is, or shal, whil that the world may dure.
"
502,"He is bereft of his sleep, his food, his drink
","he's not sleeping, he's not eating, he's not drinking."," He sleeps, he not eat, he not drinketh, he not thirst.","His slep, his mete, his drynke, is hym biraft,
"
503,"So that he became lean and dry as is a stick;
",he was dry and dry as a stick;, He was dry and dry as a stick;,"That lene he wex and drye as is a shaft;
"
504,"His eyes sunken and grisly to behold,
","he looked down at the grimy, grimy, grimy face of the grimy, grimy face. He looked down at the..."," He looked down at the grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy, grimy,","His eyen holwe and grisly to biholde,
"
505,"His hue sickly yellow and pale as cold ashes,
",the hue of the hue is sickening yellow and pale as a cold ashes., The hue of the hue is sickening yellow and pale as a cold ashes.,"His hewe falow and pale as asshen colde,
"
506,"And he was solitary and ever alone,
","he was alone and alone, and he was alone, and he was alone, and he was alone, and he was alone, and..."," Alone and alone, and alone, and alone, and...","And solitarie he was and evere allone,
"
507,"And wailing all the night, making his moan;
","he was crying all night, crying, crying, crying, crying, crying, crying, crying, crying, crying,..."," He cried all night, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying, crying","And waillynge al the nyght, makynge his mone;
"
508,"And if he heard song or instrument,
","if he heard a song or a song, he would be able to hear it."," If he heard a song or a song, he would be able to hear it.","And if he herde song or instrument,
"
509,"Then would he weep, he could not be stopped.
","he would cry, but he could not stop him."," He would cry, but could not stop him.","Thanne wolde he wepe, he myghte nat be stent.
"
510,"So feeble also were his spirits, and so low,
","and so weak, too, were his spirits, and so weak."," And so weak, too, were his spirits, and so weak,","So feble eek were his spiritz, and so lowe,
"
511,"And changed so, that no man could know
","he changed the way he was, so no one would know."," He changed the way he was, so no one would know.","And chaunged so, that no man koude knowe
"
512,"His speech nor his voice, though men heard it.
","but he spoke, and his voice, though he could hear it."," But he spoke, and his voice, though he could hear it.","His speche nor his voys, though men it herde.
"
513,"And in his behavior for all the world he fared
",he behaved like a man who had been in a world of men., He behaved like a man who had been in a world of men.,"And in his geere for al the world he ferde
"
514,"Not only like the lover's malady
","only as a disease of love, not as a disease of love."," Only as a disease of love, not as a disease of love.","Nat oonly lik the loveris maladye
"
515,"Of Hereos, but rather like mania,
","but it's more like a mania, like a mania, like a mania, like a mania, like a"," But it is more like a mania, like a mania, like a mania, like a mania, like a mania, like a mania, like a mania, like a mania, like a mania, like a mania, like a mania","Of Hereos, but rather lyk manye,
"
516,"Engendered by the melancholic humor
",the melancholic humor of the melancholic humor, The melancholic humor of the melancholic humor,"Engendred of humour malencolik
"
517,"In the front lobe, in his imagination.
","in the back lobe, in his mind."," In the back lobe, in his mind.","Biforen, in his celle fantastik.
"
518,"And shortly, all was turned topsy-turvy
","all of a sudden, everything was a little weird, a little weird, a little weird, a little weird."," All this was a little weird, a little weird, a little weird, a little weird, a little weird, a little ","And shortly, turned was al up so doun
"
519,"Both the physical condition and also the mental disposition
",the physical condition and mental state of the body and mind, The physical condition and mental state of the body and mind,"Bothe habit and eek disposicioun
"
520,"Of him, this woeful lover dan Arcite.
",this terrible lover of Dan Arcite., This terrible lover of Dan Arcite.,"Of hym, this woful lovere daun Arcite.
"
521,"Why should I all daylong write of his woe?
",what about writing about his death?, What about writing about his death?,"What sholde I al day of his wo endite?
"
522,"When he had endured a year or two
",he had endured a year or two of suffering.," He had endured a year or two of suffering,","Whan he endured hadde a yeer or two
"
523,"This cruel torment and this pain and woe,
","the cruel torment and suffering, the suffering and suffering, the suffering and suffering, the..."," The cruel torment and suffering, the cruel and suffering, the suffering and suffering, the suffering and suffering, the...","This crueel torment and this peyne and wo,
"
524,"At Thebes, in his country, as I said,
","in the country of the Thebes, as I've said,"," In the country of the Thebes, as I have said,","At Thebes, in his contree, as I seyde,
"
525,"Upon one night as he laid himself in sleep,
",he fell asleep with a dream. He had a dream of a dream. He had a dream of a dream. He had a, He fell asleep with a dream.,"Upon a nyght in sleep as he hym leyde,
"
526,"It seemed to him that the winged god Mercury
","the winged god of Mercury, the god of the sky."," The winged god of Mercury, the god of the sky.","Hym thoughte how that the wynged god Mercurie
"
527,"Stood before him and commanded him to be merry.
",he was looking at him and asked him to be merry., He looked at him and asked him to be merry.,"Biforn hym stood and bad hym to be murie.
"
528,"His sleep-inducing staff he carried upright in his hand;
",his hands were gripped by a staff that was asleep;, His hands were gripped by a staff that was asleep;,"His slepy yerde in hond he bar uprighte;
"
529,"He wore a hat upon his bright hair.
","he had a hat on his head, and a hat on his head."," And he had a hat on his head, and a hat on his head.","An hat he werede upon his heris brighte.
"
530,"This god was dressed, as he (Arcite) noticed,
","as he (Arcite) noticed, the god was dressed."," As he (Arcite) noticed, the god was dressed.","Arrayed was this god, as he took keep,
"
531,"As he was when he put Argus to sleep;
","when he was asleep, he put Argus to sleep;"," When he was asleep, he put Argus to sleep;","As he was whan that Argus took his sleep;
"
532,"And said to him thus: ""To Athens shalt thou go,
","""you're going to Athens, you're going to Athens,"" he said."," And he said, "" You go to Athens, you go to Athens, you go to Athens, you go to Athens, you go to Athens, you go to Athens, you go toâĢĻsâĻsâĢĻsâĢĻsâĢĢĻ","And seyde hym thus: ""To Atthenes shaltou wende,
"
533,"Where an end of thy woe is destined for thee.""
","""you will be the end of your suffering."""," "" Thou shalt be the end of thy suffering.","Ther is thee shapen of thy wo an ende.""
"
534,"And with that word Arcite awoke and leaped up.
","he leapt up and leapt into the air, then leapt into the air again."," He leapt up and leapt into the air again,","And with that word Arcite wook and sterte.
"
535,"""Now truly, however sorely it may pain me,""
","but I'm really sorry about it, really, but I'm sorry about it. """," But I am really sorry about it, really, but I am sorry about it.","""Now trewely, hou soore that me smerte,""
"
536,"Said he, ""I will go to Athens right now,
","""I'm going to Athens right now,"" he said."," "" I'm going to Athens right now, "" he said. ""","Quod he, ""to Atthenes right now wol I fare,
"
537,"Nor shall I refrain for the dread of death
","I'm afraid of death, so I won't be able to bear it."," I fear death, so that I can bear it.","Ne for the drede of deeth shal I nat spare
"
538,"From seeing my lady, whom I love and serve.
",I love my lady and I love her., I love my lady and I love her,"To se my lady, that I love and serve.
"
539,"In her presence I care not if I die.""
","I'm not interested in dying if I'm not dead. """, I do not want to die if I am not dead.,"In hire presence I recche nat to sterve.""
"
540,"And with that word he picked up a large mirror,
",he picked up a large mirror and took a look., He picked up a large mirror and took a look.,"And with that word he caughte a greet mirour,
"
541,"And saw that all his color was changed,
","he saw that all the colors were changing, and he was changing them."," And he saw that all the colors were changed, and changed them to change their colors.","And saugh that chaunged was al his colour,
"
542,"And saw his visage all (changed) to another sort.
",he looked at him all (changed) in a different way., He looked at him all (changed) in a different way.,"And saugh his visage al in another kynde.
"
543,"And right away it ran to him in his mind,
","he thought of it immediately, and then he thought of it again."," He thought of it immediately, and then thought of it again.","And right anon it ran hym in his mynde,
"
544,"That, since his face was so disfigured
",since he had a face like a disfigured man., Since he had a face like disfigured man.,"That, sith his face was so disfigured
"
545,"By the malady which he had endured,
","the disease he had suffered, the disease he had suffered, the disease he suffered."," The disease he had suffered, the disease he had suffered, the disease he had suffered, the disease he had suffered","Of maladye the which he hadde endured,
"
546,"He might well, if he conducted himself humbly,
","if he's modest, he might as well, if he's modest."," If he modest, he might as well, if he modest.","He myghte wel, if that he bar hym lowe,
"
547,"Live in Athens evermore unknown,
","in Athens, the unknown is still unknown,"," In Athens, the unknown is unknown,","Lyve in Atthenes everemoore unknowe,
"
548,"And see his lady almost every day.
",he's almost every day with his wife., He is almost every day with his wife.,"And seen his lady wel ny day by day.
"
549,"And right away he changed his clothing,
",he changed his clothes immediately after he was dressed., He changed his clothes immediately after he was dressed.,"And right anon he chaunged his array,
"
550,"And clad himself as a poor laborer,
","he was dressed as a poor laborer, and he was dressed as a poor laborer."," He was dressed as a poor laborer, and he was dressed as a poor laborer.","And cladde hym as a povre laborer,
"
551,"And all alone, except only a squire
","only a squire, except for a knight, except for a knight, except for a knight, except for a knight"," Only a squire, except for a knight, except for a knight, except for a knight, except for a knight, except for a knight, except for a knight, except for a knight, except for a knight, except for a knight,","And al allone, save oonly a squier
"
552,"Who knew his private affairs and all his situation,
",he knew everything about his personal affairs and everything about his life., He knew everything about his personal affairs and everything about his life.,"That knew his privetee and al his cas,
"
553,"Who was disguised as poorly as he was,
",he was disguised as a poor man., He was disguised as a poor man.,"Which was disgised povrely as he was,
"
554,"To Athens he is gone the nearest way.
",he's gone the closest way to Athens., He went the furthest way to Athens.,"To Atthenes is he goon the nexte way.
"
555,"And to the court he went upon a day,
","he was taken to court by the court, and he was taken to court by the court."," He was taken to court by the court, and was taken to court by the court.","And to the court he wente upon a day,
"
556,"And at the gate he offers his service
",he offers his services to the gatekeeper., He offers his services to the gatekeeper.,"And at the gate he profreth his servyse
"
557,"To drudge and draw water, whatever men will command.
","drudge and draw water, whatever they want."," drudge and draw water, whatever they want.","To drugge and drawe, what so men wol devyse.
"
558,"And shortly to speak of this matter,
",I'll talk to you about it soon., I'll talk to you of it soon.,"And shortly of this matere for to seyn,
"
559,"He was given employment by a household attendant
",he was hired by a household servant to work in the household., He was hired by a household servant to work in the household.,"He fil in office with a chamberleyn
"
560,"Who was dwelling with Emelye,
","he was a man who lived in Emelye's house, and he lived in Emelye's house"," And he lived in Emelye's house, and dwelt in Emelye's house","The which that dwellynge was with Emelye,
"
561,"For he was wise and could soon take the measure
",he's wise and he's quick to take action., He is wise and quick to act.,"For he was wys and koude soone espye,
"
562,"Of every servant, who serves here.
","every servant who serves here, who's working."," Every servant that serves here,","Of every servaunt, which that serveth here.
"
563,"He could well hew wood, and carry water,
","he could carry water, and carry wood."," He could carry water, and carry wood.","Wel koude he hewen wode, and water bere,
"
564,"For he was young and mighty indeed,
","he was young and powerful, and he was strong enough to be strong. He was strong enough to be..."," He was young and powerful, and he was strong enough to be strong.","For he was yong and myghty for the nones,
"
565,"And moreover he was tall and strong of bones
",and he was tall and strong of bones., And he was tall and strong of bones.,"And therto he was long and big of bones
"
566,"To do what any one can command him.
",he's doing what anyone can do to him., He is doing what anyone can do to him.,"To doon that any wight kan hym devyse.
"
567,"A year or two he was in this service,
","he was in the service for two years, and he was a year ago."," And he was in the service for two years, and was a year ago.","A yeer or two he was in this servyse,
"
568,"Page of the chamber of Emelye the bright,
","the chamber of Emelye's bright, bright, bright, bright, bright, bright, bright, bright,"," The chamber of Emelye's bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright, bright,","Page of the chambre of Emelye the brighte,
"
569,"And he said that he was called Philostrate.
",he said he was called Philostrate by the Philostrate., He said he was called by the Philostrate by the name of Philostrate.,"And Philostrate he seyde that he highte.
"
570,"But half so well beloved a man as he
",he's a man who likes to be liked. He likes to be liked., HeâĢĻs a man who likes to be liked.,"But half so wel biloved a man as he
"
571,"Was never in court (anyone) of his rank;
",he never had a court case (anyone) of his rank;, And never had a court case (anyone) of his rank;,"Ne was ther nevere in court of his degree;
"
572,"He was so noble in manner
",he was so noble in his manner., So noble in his manner.,"He was so gentil of condicioun
"
573,"That his fame was (spread) throughout all the court .
",he was (spread) throughout the court of all the judges., He was (spread) throughout the court of all the judges.,"That thurghout al the court was his renoun.
"
574,"They said that it would be a act of charity
",they said it would be a charity act., They said it would be a charity act.,"They seyden that it were a charitee
"
575,"If Theseus would advance his rank,
","theseus would advance his rank, and he would advance."," Theseus would advance his rank, and advance","That Theseus wolde enhauncen his degree,
"
576,"And put him in noble employment,
","he will be a noble servant, and he will be a noble servant."," He shall be a noble servant, and he shall be a noble servant.","And putten hym in worshipful servyse,
"
577,"Where he could exercise his abilities.
",he can use his skills to his advantage., He can use his skills to his advantage.,"Ther as he myghte his vertu excercise.
"
578,"And thus within a short time his fame is sprung,
","so he's quickly rising to fame, and then quickly fading."," So he is quick rising to fame, and then quickly fading.","And thus withinne a while his name is spronge,
"
579,"Both for his deeds and his good speech,
","for his deeds and his good speech, for his good speech."," For his good deeds and his good speech,","Bothe of his dedes and his goode tonge,
"
580,"That Theseus has taken him so near
",they took him so far as they could., And they took him so far as they could.,"That Theseus hath taken hym so neer
"
581,"That he has made him a squire of his chamber,
","he's a knight of his chamber, a knight of his chamber."," He is a knight of his chamber, a knight of his chamber.","That of his chambre he made hym a squier,
"
582,"And gave him gold to maintain (a life style suitable to) his rank.
",he gave him gold to maintain his rank., He gave him gold to maintain his rank.,"And gaf hym gold to mayntene his degree.
"
583,"And also men brought him out of his country,
",and they took him to the country of the men., And they took him to the country of the men.,"And eek men broghte hym out of his contree,
"
584,"From year to year, very secretly, his income;
","he's got a lot of money in the bank, and he's very secretive about it."," He hath a lot of money in the bank, and he is very secretive about it.","From yeer to yeer, ful pryvely his rente;
"
585,"But properly and slyly he spent it,
","he was careful to keep his hands on the gun, and he kept his gun in his hand. He was careful to..."," He was careful to keep his gun in his hand, and he kept his gun in his hand.","But honestly and slyly he it spente,
"
586,"So that no man wondered how he acquired it.
",no one would have thought he had acquired him., No one would have thought he had acquired him.,"That no man wondred how that he it hadde.
"
587,"And three years in this manner he led his life,
","he led his life for three years, and he's lived it."," He led his life for three years, and he lived it.","And thre yeer in this wise his lif he ladde,
"
588,"And conducted himself so that, in peace and also in war,
",he was able to carry out his duties and responsibilities., He was able to carry out his duties and responsibilities.,"And bar hym so, in pees and eek in werre,
"
589,"There was no man whom Theseus holds dearer.
",there was no man who was more valuable to theseus., There was no man more valuable to theseus.,"Ther was no man that Theseus hath derre.
"
590,"And in this bliss I now leave Arcite,
","I'm leaving Arcite's bliss, and I'm leaving the world."," I leave Arcite's bliss, and I leave the world.","And in this blisse lete I now Arcite,
"
591,"And I will speak of Palamon a little.
",I'll talk about Palamon a little., I'll talk about Palamon a little,"And speke I wole of Palamon a lite.
"
592,"In darkness and horrible and strong imprisonment
",in the dark and terrible and terrible prison., In the dark and dreadful prison.,"In derknesse and horrible and strong prisoun
"
593,"These seven years Palamon has sat
",the Palamon has been sitting for seven years., The Palamon hath been sitting for seven years.,"Thise seven yeer hath seten Palamoun
"
594,"Wasted by suffering, what for woe and for distress.
","the suffering, the suffering, the distress, the suffering, the suffering, the suffering, the..."," The suffering, the suffering, the distress, the distress, the distress, the...","Forpyned, what for wo and for distresse.
"
595,"Who feels double pain and sadness
","pain and sadness in the same place, but in different places."," Pain and sadness in the same place, but in different places.","Who feeleth double soor and hevynesse
"
596,"But Palamon, whom love so afflicts
","Palamon, who loves so much, but he's so much of a fool."," Palamon, who loves so much, but he is so much of a fool.","But Palamon, that love destreyneth so
"
597,"That he goes mad, out of his wits because of woe?
","he's going crazy, because he's afraid of what he's going to do to him?"," And he hath gone mad, because he fearth what he shall do to him?","That wood out of his wit he goth for wo?
"
598,"And also moreover he is a prisoner
",and he's a prisoner of the state. He's a prisoner of the state., And he is a prisoner of the state.,"And eek therto he is a prisoner
"
599,"Perpetually, not just for a year.
","not just for a year, not even for a year."," Not for a year, not even a year.","Perpetuelly, noght oonly for a yer.
"
600,"Who could rime in English properly
","in English, it would be a good thing to do it properly."," In English, it would be a good thing to do it properly.","Who koude ryme in Englyssh proprely
"
601,"His martyrdom? In truth it is not I;
","in fact, it's not me, but the martyrdom of the martyr."," And in fact, it is not me, but the martyrdom of the martyr.","His martirdom? For sothe it am nat I;
"
602,"Therefore I pass on as quickly as I can.
",I'll be there as quickly as I can., I will be there as quickly as I can.,"Therfore I passe as lightly as I may.
"
603,"It happened that in the seventh year, of May
","in the seventh year of May, the seventh year of May, the seventh year of May, the seventh year of..."," And in the seventh year of May, the seventh year of May, the seventh year of...","It fel that in the seventhe yer, of May
"
604,"The third night (as old books say,
","the third night is the night of the night, the third night is the night of the night."," The third night is the night of the night, the third night is the night of the night.","The thridde nyght (as olde bookes seyn,
"
605,"That tell all this story more fully),
","it's all about the story, the story, the story, the story, the story, the story, the story, the..."," It's all about the story, the story, the story, the story, the story, the story, the story, the story, the story, the story, the...","That al this storie tellen moore pleyn),
"
606,"Whether it was by chance or fate --
",it's just a coincidence or fate -, It's just a coincidence or fate -,"Were it by aventure or destynee --
"
607,"As, when a thing is pre-ordained, it must be --
","when something is planned, it must be --"," When something is planned, it must be--","As, whan a thyng is shapen, it shal be --
"
608,"That soon after midnight Palamon,
","the Palamon was taken to the Palamon's house, where he was taken to the Palamon's house. Palamon..."," And the Palamon was taken to the Palamon's house, where he was taken to the Palamon's house.","That soone after the mydnyght Palamoun,
"
609,"With the help of a friend, broke out of his prison
",he escaped from prison with a friend., He escaped from prison with a friend.,"By helpyng of a freend, brak his prisoun
"
610,"And flees the city as fast as he can go.
",he runs away as fast as he can., He runs away as fast as he can.,"And fleeth the citee faste as he may go.
"
611,"For he had so given his jailer drink
",he gave his prisoner a drink to drink., He gave his prisoner a drink to drink.,"For he hadde yeve his gayler drynke so
"
612,"Of a spiced and sweetened drink made of a certain wine,
","a drink made from a certain wine, a certain wine, a certain wine, a certain wine, a certain wine, a..."," A drink made from a certain wine, a certain wine, a certain wine, a certain wine, a certain wine, a...","Of a clarree maad of a certeyn wyn,
"
613,"With narcotics and pure opium of Thebes,
","the opium of the Thebes, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium,..."," The opium of the Thebes, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium, pure opium, pure ","With nercotikes and opie of Thebes fyn,
"
614,"That all that night, though men would shake him,
","but he was shaken by men, but he didn't mind."," But he was shaken by men, but he did not mind.","That al that nyght, thogh that men wolde him shake,
"
615,"The jailer slept; he could not awake.
","the prisoner was asleep, but he could not wake him."," The prisoner was asleep, but could not wake him.","The gayler sleep; he myghte nat awake.
"
616,"And thus he flees as fast as ever he can.
","he flees as quickly as he can, and he runs away."," He flees as he goes, and he runs away.","And thus he fleeth as faste as evere he may.
"
617,"The night was short and very close to the day
","the night was short, but very close to the day."," The night was short, but near the day.","The nyght was short and faste by the day
"
618,"So that by necessity he must hide himself,
",he must hide himself in order to hide himself., He must hide himself in order to hide himself.,"That nedes cost he moot hymselven hyde,
"
619,"And to a grove close by
",to the grove near the shrine of the shrine of the shrine of the shrine of the shrine of the shrine..., To the grove near the shrine of the shrine of the shrine of the shrine of the shrine of the shrine of the shrine,"And til a grove faste ther bisyde
"
620,"With fearful foot then stalks Palamon.
",then Palamon's foot is afraid of Palamon., Then Palamon's foot is afraid of Palamon.,"With dredeful foot thanne stalketh Palamon.
"
621,"For, shortly, this was his idea:
",he was the idea of the whole thing:, He was the idea of all:,"For, shortly, this was his opinion:
"
622,"That in that grove he would hide himself all day,
","he hid in the grove all day, and he hid in the grove all day."," He hid in the grove all day, and hid in the grove all day.","That in that grove he wolde hym hyde al day,
"
623,"And in the night then he would take his way
","he'll go to the night, and he'll go to the night."," And he shall go to the night, and shall go to the night.","And in the nyght thanne wolde he take his way
"
624,"Toward Thebes, to pray his friends
","to the gods of the gods, to the gods of the gods, to the gods of the gods."," To the gods of the gods, to the gods of the gods, to the gods of the gods.","To Thebes-ward, his freendes for to preye
"
625,"To help him to wage war on Theseus;
",to help him to fight the Theseusians;, To help him to fight the Theseusians;,"On Theseus to helpe him to werreye;
"
626,"And shortly, he would either lose his life
","he will soon lose his life, and he will soon be dead."," He shall soon lose his life, and shall be buried in the grave.","And shortly, outher he wolde lese his lif
"
627,"Or win Emelye to be his wife.
",he will be his wife's husband., And he shall be his wife's husband.,"Or wynnen Emelye unto his wyf.
"
628,"This is the purpose and his full intent.
",it's a purpose and its full intention., It is a purpose and full intention.,"This is th'effect and his entente pleyn.
"
629,"Now I will turn again to Arcite,
","I'll go back to Arcite again, and I'll go back to the game."," I will go back to Arcite again, and I will go back to the game.","Now wol I turne to Arcite ageyn,
"
630,"That little knew how near his trouble was,
",he knew how close he was to the problem., He knew how close he was to the problem.,"That litel wiste how ny that was his care,
"
631,"To which Fortune had brought him in the snare.
","he was caught in the trap by Fortune, who brought him in the trap."," He was caught in the trap by Fortune, who brought him in the trap.","Til that Fortune had broght him in the snare.
"
632,"The busy lark, messenger of day,
","the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the..."," The messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day, the messenger of the day,","The bisy larke, messager of day,
"
633,"Salutes the morning gray in her song,
","the morning gray of the morning, the morning gray of the morning, the morning gray of the morning,..."," The morning gray of the morning, the morning gray of the morning, the morning gray of the morning,","Salueth in hir song the morwe gray,
"
634,"And fiery Phoebus rises up so bright
","Phoebus is rising so brightly, so quickly, so quickly."," Phoebus rises so bright, so quickly, so fast.","And firy Phebus riseth up so bright
"
635,"That all the orient laughs because of the light,
",all the Orient's laughter is for the light., All the light of the Orient's laughter is for the light.,"That al the orient laugheth of the light,
"
636,"And with his rays dries in the groves
","with the rays of the sun, the sun's rays are drying in the groves."," With rays of the sun, the groves are drying in the groves.","And with his stremes dryeth in the greves
"
637,"The silver drops hanging on the leaves.
",the silver leaves hanging on the leaves., The silver leaves hanging on the leaves.,"The silver dropes hangynge on the leves.
"
638,"And Arcite, who in the royal court
","the royal court of the king, the king's court, the king's court, the king's court."," The royal court of the king, the king's court, the king's court, the king's court.","And Arcita, that in the court roial
"
639,"With Theseus is chief squire,
","the chief of the house is the chief of the house, and the chief of the house is the chief."," And the chief of the house is the chief of the house, and the chief of the house is the chief.","With Theseus is principal squier,
"
640,"Is risen and looks on the merry day.
","the day of the merry day, the day of the merry day, the day of the merry day."," The day of the merry day, the day of the merry day, the day of the merry day,","Is risen and looketh on the myrie day.
"
641,"And to do his observance to May,
","to observe the observance of the May Day, May Day, May Day, May Day, May Day, May Day, May Day, May..."," To observe the observance of the May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May Day, May","And for to doon his observaunce to May,
"
642,"Meditating on the object of his desire,
",he meditated on the object of his desire., He meditated on the object of his desire.,"Remembrynge on the poynt of his desir,
"
643,"He on a war horse, leaping about like the fire,
","on a horse with a fire in his belly, jumping like a fire."," On a horse with a fire in his belly, jumping like a fire,","He on a courser, startlynge as the fir,
"
644,"Has ridden into the fields to amuse himself,
",he rode into the field to amuse himself., He rode into the field to amuse himself.,"Is riden into the feeldes hym to pleye,
"
645,"Out of the court, about a mile or two.
",a couple of miles from here to the court., A couple of miles from here to the court.,"Out of the court, were it a myle or tweye.
"
646,"And to the grove of which I told you
",to the grove of the grove I've told you., To the grove of the grove I told thee.,"And to the grove of which that I yow tolde
"
647,"By chance he began to hold his way
","he began to move slowly, and he began to move slowly."," And he began to move slowly, and began to move.","By aventure his wey he gan to holde
"
648,"To make himself a garland of the branches,
","to put on the branches of the tree, and then to put them on the tree."," To put on the branches of the tree, and then to put them on the branches of the tree","To maken hym a gerland of the greves,
"
649,"Were it of woodbine or hawthorn leaves,
",it's a woodbine or hawthorn leaf., It is a woodbine or hawthorn leaf.,"Were it of wodebynde or hawethorn leves,
"
650,"And loud he sang in the bright sun:
","""I'm going to be a great man!"" Said the loud voice of the sun."," "" I am going to be a great man!","And loude he song ayeyn the sonne shene:
"
651,"""May, with all thy flowers and thy greenery,
","with all your flowers and your greenery, May it be."," With all thy flowers and thy greenery, May it be.","""May, with alle thy floures and thy grene,
"
652,"Welcome be thou, fair, fresh May,
","you're a little late for the party, but you're a little late for the party, too."," You're a little late for the party, but you're a little late for the party, too.","Welcome be thou, faire, fresshe May,
"
653,"In hope that I can get something green.""
","I hope I'll get something green for you. """, I hope I get something green for you.,"In hope that I som grene gete may.""
"
654,"And from his war horse, with an eager heart,
","from the horse he rode, with a heart full of desire."," From the horse he rode, with a heart full of desire.","And from his courser, with a lusty herte,
"
655,"He rushed into the grove hastily,
","quickly, quickly, quickly, quickly, quickly, quickly, quickly, quickly, quickly, quickly, quickly,...", ,"Into the grove ful hastily he sterte,
"
656,"And in a path he roams up and down,
","he's going down the path and down, and he's going down the path."," And he went down the path, and down the path.","And in a path he rometh up and doun,
"
657,"Where by chance this Palamon
","by chance, the Palamon is a Palamon."," By chance, the Palamon is a Palamon.","Ther as by aventure this Palamoun
"
658,"Was in a thicket, so that no man could see him,
","he was in a thicket, so no one could see him."," And he was in a thicket, so no one could see him.","Was in a bussh, that no man myghte hym se,
"
659,"For he was sorely afraid of his death.
","he was afraid of his death, and he was afraid of dying."," He was afraid of death, and he was afraid of dying.","For soore afered of his deeth was he.
"
660,"In no way did he know that it was Arcite;
",he didn't know that it was Arcite; he didn't even know he was Arcite., He knew not that it was Arcite; he did not even know that it was Arcite;,"No thyng ne knew he that it was Arcite;
"
661,"God knows he would scarcely have believed it
","he would hardly believe it, but he would have believed it anyway."," He would not believe it, but would have believed it anyway.","God woot he wolde have trowed it ful lite.
"
662,"But truly it is said, since many years ago,
","it's true, since many years ago, it's true, since many years ago, it's true, since many years ago,..."," It is true, since many years ago, it is true, since many years ago","But sooth is seyd, go sithen many yeres,
"
