,Original,Paraphrased,Modern
448,"What is mankynde moore unto you holde
","what's the matter with you, man, what do you mean?","Why is mankind more obligated unto you
"
449,"Than is the sheep that rouketh in the folde?
",then the sheep that's in the fold is the sheep that's in the fold?,"Than is the sheep that cowers in the sheepfold?
"
450,"For slayn is man right as another beest,
","killn is a man's right to kill another man, as well as a man.","For man is slain exactly like another beast,
"
451,"And dwelleth eek in prison and arreest,
",dwelleth's in jail and he's in jail.,"And dwells also in prison and detention,
"
452,"And hath siknesse and greet adversitee,
","he's a good man, he's a good man, he's a good man, he's a good man.","And has sickness and great adversity,
"
453,"And ofte tymes giltelees, pardee.
","ofte tymes gilteres, pardee.","And often times guiltless, indeed.
"
454,"""What governance is in this prescience,
","what is the governance of this prescience, what is the governance of this prescience?","""What (sort of) governance is in this foreknowledge,
"
455,"That giltelees tormenteth innocence?
",gilteres torment innocent people?,"That torments guiltless innocence?
"
456,"And yet encresseth this al my penaunce,
","yet I'm not afraid of it, but I'm afraid of my penance.","And yet this increases all my suffering,
"
457,"That man is bounden to his observaunce,
","the man is bound by his observance, the man is bound by his observance.","That man is bound to his duty,
"
458,"For Goddes sake, to letten of his wille,
","for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God's sake, for God","For God's sake, to refrain from his desire,
"
459,"Ther as a beest may al his lust fulfille.
","as a beest, he can be satisfied with his lust.","Whereas a beast may fulfill all his desire.
"
460,"And whan a beest is deed he hath no peyne;
","when he does a deed, he doesn't have a peen;","And when a beast is dead he has no pain;
"
461,"But man after his deeth moot wepe and pleyne,
","we're gonna have a man after the deeth, and pleyn.","But man after his death must weep and lament,
"
462,"Though in this world he have care and wo.
",he's got a care and a wo in this world.,"Though in this world he may have (had) care and woe.
"
463,"Withouten doute it may stonden so.
","it may be so, so it may be.","Without doubt such is the case.
"
464,"The answere of this lete I to dyvynys,
","I'll answer the question of the lete, Dyvyn.","The answer to this I leave to theologians,
"
465,"But wel I woot that in this world greet pyne ys.
","I'm glad I'm here, pyne's here.","But well I know that great pain is in this world.
"
466,"Allas, I se a serpent or a theef,
","as I'm a serpent or a theef, I'm a snake.","Alas, I see a serpent or a thief,
"
467,"That many a trewe man hath doon mescheef,
","many a man has done a lot of work, and he's done it well.","That has done mischief to many a true man,
"
468,"Goon at his large, and where hym list may turne.
","he was a big, and he could turn it. He was a big, and he could turn him.","Go at his liberty, and can go where he pleases.
"
469,"But I moot been in prisoun thurgh Saturne,
","I'm in the prisoun thurgh Saturne, I'm in the prisoun thurgh Saturne.","But I must be in prison because of Saturn,
"
470,"And eek thurgh Juno, jalous and eek wood,
","Jalous, jalous, jalous, jalous, jalous, jalous, jalous, jalous,","And also because of Juno, jealous and also mad,
"
471,"That hath destroyed wel ny al the blood
",he destroyed the blood of the whole of the blood.,"Who has destroyed well nigh all the blood
"
472,"Of Thebes with his waste walles wyde;
",thebes with his waste walles wyde;,"Of Thebes with its wide devastated walls;
"
473,"And Venus sleeth me on that oother syde
",Venus's going to make me a little bit of a syde.,"And Venus slays me on that other side
"
474,"For jalousie and fere of hym Arcite.""
","""the jalousie and the fere of the hym Arcite.""","For jealousy and fear of this Arcite.""
"
475,"Now wol I stynte of Palamon a lite,
","I'm going to Palamon a little lighter, a little lighter.","Now will I cease (speaking of) of Palamon for a little while,
"
476,"And lete hym in his prisoun stille dwelle,
","the lete hym in the prisoun stille, the lete hym in the prisoun stille.","And leave him to dwell in his prison still,
"
477,"And of Arcita forth I wol yow telle.
","I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm","And of Arcite forth I will tell you.
"
478,"The somer passeth, and the nyghtes longe
","the somers are passing, and the nyghtes are long.","The summer passes, and the long nights
"
479,"Encressen double wise the peynes stronge
",the peynes stronge is a double-sided peynes stronge,"Increase doubly the strong pains
"
480,"Bothe of the lovere and the prisoner.
",the love of the prisoner and the prisoner.,"Both of the lover and the prisoner.
"
481,"I noot which hath the wofuller mester.
","noot, which has the wofuller mester.","I know not which has the more woeful task.
"
482,"For, shortly for to seyn, this Palamoun
","soon after the Palamoun, the Palamoun will be released.","For, briefly to say (it), this Palamon
"
483,"Perpetuelly is dampned to prisoun,
","it's dampened by the prisoun, which is dampened by the prisoun.","Is damned perpetually to prison,
"
484,"In cheynes and in fettres to been deed;
",in the cheynes and in the fettles of the fettles;,"In chains and in fetters to be dead;
"
485,"And Arcite is exiled upon his heed
",Arcite is expelled from his mind by the Arcite's mind.,"And Arcite is exiled on threat of losing his head
"
486,"e          For everemo, as out of that contree,
","for Everemo, from the tree, as far as I'm concerned,","For evermore, out of that country,
"
487,"Ne nevere mo ne shal his lady see.
",neither do I nor my lady see him.,"Nor nevermore shall see his lady.
"
488,"Yow loveres axe I now this questioun:
",I'm now on my way to the questioun:,"Yow lovers now I ask this question:
"
489,"Who hath the worse, Arcite or Palamoun?
","who's the worse, Arcite or Palamon?","Who has the worse, Arcite or Palamon?
"
490,"That oon may seen his lady day by day,
","on the day of the lady, he may see her every day.","That one may see his lady every day,
"
491,"But in prison he moot dwelle alway;
","he's always in prison, even in prison.","But in prison he must always dwell;
"
492,"That oother wher hym list may ride or go,
","wherever he goes, he's going to ride or go.","That other where he pleases may ride or walk,
"
493,"But seen his lady shal he nevere mo.
","he saw his lady's shal, and he was not afraid of her.","But he shall see his lady nevermore.
"
494,"Now demeth as yow liste, ye that kan,
","you're gonna be a good boy, you'll be a good boy, you'll be a good boy.","Now judge as it pleases you, you who know (of such things),
"
495,"For I wol telle forth as I bigan.
",I'm gonna tell you what I want to tell you.,"For I will tell forth as I began.
"
496,"Whan that Arcite to Thebes comen was,
",the Arcite was taken to thebes by the gods.,"When Arcite was come to Thebes,
"
497,"Ful ofte a day he swelte and seyde ""Allas!""
",he was a little worried about the day he was a little worried about the day he was a little worried about the day he was a little worried about the day he was a little worried about the day he was a little,"Very often each day he grew faint and said ""Alas!""
"
498,"For seen his lady shal he nevere mo.
","he saw his lady's shal, and he was not afraid of her.","For he shall never more see his lady.
"
499,"And shortly to concluden al his wo,
","soon after he had finished his work, he was taken away by the police.","And shortly to conclude (telling) all his woe,
"
500,"So muche sorwe hadde nevere creature
",the muche sorwe was a creature of the muche sorwe.,"So much sorrow never had creature
"
501,"That is, or shal, whil that the world may dure.
","or shal, whil the world is going to survive.","That is, or shall (be), while the world may endure.
"
502,"His slep, his mete, his drynke, is hym biraft,
","he's a drynke, a drynke, a drynke, a drynke, a drynke, a drynke, a drynke, a drynke, a dry","He is bereft of his sleep, his food, his drink
"
503,"That lene he wex and drye as is a shaft;
",the lene is dry and dry as a shaft;,"So that he became lean and dry as is a stick;
"
504,"His eyen holwe and grisly to biholde,
","the eyen's eye and grisly eyes, the grisly eyes, the grisly eyes.","His eyes sunken and grisly to behold,
"
505,"His hewe falow and pale as asshen colde,
","as he was a cold, he was pale as a hewe.","His hue sickly yellow and pale as cold ashes,
"
506,"And solitarie he was and evere allone,
",he was a solitaire and everyone was all alone.,"And he was solitary and ever alone,
"
507,"And waillynge al the nyght, makynge his mone;
","wilson, wilt thou be a man, wilt you be a man?","And wailing all the night, making his moan;
"
508,"And if he herde song or instrument,
","if he's singing or playing a song, he's singing or playing a song.","And if he heard song or instrument,
"
509,"Thanne wolde he wepe, he myghte nat be stent.
","he was a little bit of a man, he was a little bit of a man.","Then would he weep, he could not be stopped.
"
510,"So feble eek were his spiritz, and so lowe,
","he was weak, and so weak, he was weak, and so weak, he was weak, and so weak, he was weak, and so weak, he was weak, and so weak, he was weak,","So feeble also were his spirits, and so low,
"
511,"And chaunged so, that no man koude knowe
","he was so bold, that no man would know him.","And changed so, that no man could know
"
512,"His speche nor his voys, though men it herde.
","but she was not a woman, but a woman, and she was a woman. She was a woman. She was a woman. She was a woman. She was a woman","His speech nor his voice, though men heard it.
"
513,"And in his geere for al the world he ferde
","he was a geere for the world, and he was a geere for the world.","And in his behavior for all the world he fared
"
514,"Nat oonly lik the loveris maladye
",only the love of the malady is a disease.,"Not only like the lover's malady
"
515,"Of Hereos, but rather lyk manye,
","but the Lyk of Hereos, but Lyk of Lyk, Lyk of Lyk, Lyk of Lyk, Lyk of Lyk, Lyk of","Of Hereos, but rather like mania,
"
516,"Engendred of humour malencolik
",the humor of the malencolik is a joke.,"Engendered by the melancholic humor
"
517,"Biforen, in his celle fantastik.
",if you're looking for a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit of a little bit,"In the front lobe, in his imagination.
"
518,"And shortly, turned was al up so doun
","then he turned to the left, and the door swung open. He stepped inside, and the door swung open. He stepped in, and the door swung open. He stepped in","And shortly, all was turned topsy-turvy
"
519,"Bothe habit and eek disposicioun
",the habit of the habit and the eek disposal of the habit,"Both the physical condition and also the mental disposition
"
520,"Of hym, this woful lovere daun Arcite.
","oh, my God, this terrible love-filled daunce is Arcite.","Of him, this woeful lover dan Arcite.
"
521,"What sholde I al day of his wo endite?
",shall I be able to do it for him?,"Why should I all daylong write of his woe?
"
522,"Whan he endured hadde a yeer or two
","he had a couple of times, but he didn't have a lot of time.","When he had endured a year or two
"
523,"This crueel torment and this peyne and wo,
","the cruel torment of the pey and the woe,","This cruel torment and this pain and woe,
"
524,"At Thebes, in his contree, as I seyde,
","as I was writing, the Thebes was in the woods, and I was in the woods.","At Thebes, in his country, as I said,
"
525,"Upon a nyght in sleep as he hym leyde,
","when he was asleep, he was asleep, and he was asleep.","Upon one night as he laid himself in sleep,
"
526,"Hym thoughte how that the wynged god Mercurie
",how the wyngs of Mercurie are the gods of the gods.,"It seemed to him that the winged god Mercury
"
527,"Biforn hym stood and bad hym to be murie.
","if he was a bad hym, he stood and bad hym to be a bad hym.","Stood before him and commanded him to be merry.
"
528,"His slepy yerde in hond he bar uprighte;
",he's got a sleazy yerde in the hond;,"His sleep-inducing staff he carried upright in his hand;
"
529,"An hat he werede upon his heris brighte.
","he was a bright hat, a bright hat, a bright hat.","He wore a hat upon his bright hair.
"
530,"Arrayed was this god, as he took keep,
","he took the god's head, and the god's head, and the god's head.","This god was dressed, as he (Arcite) noticed,
"
531,"As he was whan that Argus took his sleep;
","when Argus fell asleep, he was asleep; and he fell asleep.","As he was when he put Argus to sleep;
"
532,"And seyde hym thus: ""To Atthenes shaltou wende,
","""to Atthenes, the Lord of Atthenes, wilt thou be,"" said Seyda.","And said to him thus: ""To Athens shalt thou go,
"
533,"Ther is thee shapen of thy wo an ende.""
","""you're a shapeless thing, you're a shapeless thing.""","Where an end of thy woe is destined for thee.""
"
534,"And with that word Arcite wook and sterte.
","with that word, the Arcite wook and the sterte.","And with that word Arcite awoke and leaped up.
"
535,"""Now trewely, hou soore that me smerte,""
","now, hou's soore that I'm smerte, 'cause I'm a smerte.","""Now truly, however sorely it may pain me,""
"
536,"Quod he, ""to Atthenes right now wol I fare,
","""I'm going to Atthenes now, I'm going to be fine,"" he said.","Said he, ""I will go to Athens right now,
"
537,"Ne for the drede of deeth shal I nat spare
","I don't want to be a fool, but I'm not gonna be a fool.","Nor shall I refrain for the dread of death
"
538,"To se my lady, that I love and serve.
",I love you and I'm happy to serve you.,"From seeing my lady, whom I love and serve.
"
539,"In hire presence I recche nat to sterve.""
","""I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but","In her presence I care not if I die.""
"
540,"And with that word he caughte a greet mirour,
","he gave a welcome to the word, and he smiled.","And with that word he picked up a large mirror,
"
541,"And saugh that chaunged was al his colour,
","he was a color of his own color, and he was a color of his own.","And saw that all his color was changed,
"
542,"And saugh his visage al in another kynde.
","he looked in the face of the other kynde, and his face was a different kynde.","And saw his visage all (changed) to another sort.
"
543,"And right anon it ran hym in his mynde,
","he ran to mynde, and he was a little surprised.","And right away it ran to him in his mind,
"
544,"That, sith his face was so disfigured
","he had a face so ugly, he could hardly be seen.","That, since his face was so disfigured
"
545,"Of maladye the which he hadde endured,
","the disease he had endured, the disease he had endured, the disease he endured.","By the malady which he had endured,
"
546,"He myghte wel, if that he bar hym lowe,
","if he's a little low, he'll be a little low.","He might well, if he conducted himself humbly,
"
547,"Lyve in Atthenes everemoore unknowe,
","Vladimir, the Great, the Great, the Great, the Great, the Great, the Great, the Great, the Great, the Great, the","Live in Athens evermore unknown,
"
548,"And seen his lady wel ny day by day.
",every day I see my lady.,"And see his lady almost every day.
"
549,"And right anon he chaunged his array,
","he took a look at the array, and then he turned to the door.","And right away he changed his clothing,
"
550,"And cladde hym as a povre laborer,
","cladde hym as a laborer, a laborer, a laborer, a laborer, a laborer, a laborer, a lab","And clad himself as a poor laborer,
"
551,"And al allone, save oonly a squier
","all alone, save a squire, only a squire","And all alone, except only a squire
"
552,"That knew his privetee and al his cas,
","he knew his partner and his partner, and he knew his partner.","Who knew his private affairs and all his situation,
"
553,"Which was disgised povrely as he was,
","he was released from the povrely as he was, and he was released from the povrely.","Who was disguised as poorly as he was,
"
554,"To Atthenes is he goon the nexte way.
",he's a nexte way to Atthenes.,"To Athens he is gone the nearest way.
"
555,"And to the court he wente upon a day,
","he was on the day of the court, and he was on the day of the trial.","And to the court he went upon a day,
"
556,"And at the gate he profreth his servyse
",he's got a servo-servo on the gate.,"And at the gate he offers his service
"
557,"To drugge and drawe, what so men wol devyse.
","what men are so fond of, what men are so fond of, what men are so fond of.","To drudge and draw water, whatever men will command.
"
558,"And shortly of this matere for to seyn,
","soon after the matere, the matere will be seyn.","And shortly to speak of this matter,
"
559,"He fil in office with a chamberleyn
","in the office, he's got a chamberlainn in the chamberlainn.","He was given employment by a household attendant
"
560,"The which that dwellynge was with Emelye,
","the which was with Emelye's daughter, the daughter of Emelye.","Who was dwelling with Emelye,
"
561,"For he was wys and koude soone espye,
","he was wys and koude, so he was wys and koude.","For he was wise and could soon take the measure
"
562,"Of every servaunt, which that serveth here.
","every servant who serves here, who serves them.","Of every servant, who serves here.
"
563,"Wel koude he hewen wode, and water bere,
","he's a good man, and he's a good man, and he's a good man.","He could well hew wood, and carry water,
"
564,"For he was yong and myghty for the nones,
","he's a yong and myghty for the nones,","For he was young and mighty indeed,
"
565,"And therto he was long and big of bones
","he was long and broad of bones, and he was tall.","And moreover he was tall and strong of bones
"
566,"To doon that any wight kan hym devyse.
",any wight will be devyse on the wight.,"To do what any one can command him.
"
567,"A yeer or two he was in this servyse,
","he was in the service of the two of them, or two of them.","A year or two he was in this service,
"
568,"Page of the chambre of Emelye the brighte,
","the chambre of Emelye's brighte, the chambre of Emelye's brighte.","Page of the chamber of Emelye the bright,
"
569,"And Philostrate he seyde that he highte.
","he said he would be able to do it, and he said he would.","And he said that he was called Philostrate.
"
570,"But half so wel biloved a man as he
","half-way through the game, he was a man who was half-dead. He was half-dead by the time he reached the game. He was","But half so well beloved a man as he
"
571,"Ne was ther nevere in court of his degree;
",he was in court for his degree;,"Was never in court (anyone) of his rank;
"
572,"He was so gentil of condicioun
",he was a gentil of a condicionioun.,"He was so noble in manner
"
573,"That thurghout al the court was his renoun.
",he was in the court by the time the judge was taken away.,"That his fame was (spread) throughout all the court .
"
574,"They seyden that it were a charitee
",serena said it was a charitee.,"They said that it would be a act of charity
"
575,"That Theseus wolde enhauncen his degree,
","theseus was a degree of the highest, and he was a great man.","If Theseus would advance his rank,
"
576,"And putten hym in worshipful servyse,
","putting on the holy service, the holy service, the holy service, the holy service, the holy service, the holy service, the holy service, the holy service","And put him in noble employment,
"
577,"Ther as he myghte his vertu excercise.
",he's myghteing his vertu excercise.,"Where he could exercise his abilities.
"
578,"And thus withinne a while his name is spronge,
","then he will be called a spronge, and then he will be called a spronge.","And thus within a short time his fame is sprung,
"
579,"Bothe of his dedes and his goode tonge,
",the goode tonge of his dedes and his goode tonge.,"Both for his deeds and his good speech,
"
580,"That Theseus hath taken hym so neer
",theseus has taken the hym so far as he can.,"That Theseus has taken him so near
"
581,"That of his chambre he made hym a squier,
",he made a squire of his chambre.,"That he has made him a squire of his chamber,
"
582,"And gaf hym gold to mayntene his degree.
",gaf hym gold to the degree of the degree of the degree.,"And gave him gold to maintain (a life style suitable to) his rank.
"
583,"And eek men broghte hym out of his contree,
","he was taken out of the tree by a man, a man, a man, a man, a man, a man, a man, a man, a man","And also men brought him out of his country,
"
584,"From yeer to yeer, ful pryvely his rente;
","he's a pryvely man, he's a pryvely man, he's a pryvely man.","From year to year, very secretly, his income;
"
585,"But honestly and slyly he it spente,
","he was a cunning and cunning man, and he was cunning and cunning. He was cunning and cunning. He was cunning and cunning. He was cunning and cunning. He","But properly and slyly he spent it,
"
586,"That no man wondred how that he it hadde.
",no one was surprised that he had done it.,"So that no man wondered how he acquired it.
"
587,"And thre yeer in this wise his lif he ladde,
",he ladde his life to the same way as his life.,"And three years in this manner he led his life,
"
588,"And bar hym so, in pees and eek in werre,
","in the pees and eels of the werre, in the werre, in the werre, in the werre, in the w","And conducted himself so that, in peace and also in war,
"
589,"Ther was no man that Theseus hath derre.
",the man who was the man who was the man who was the man who was the man who was the man.,"There was no man whom Theseus holds dearer.
"
590,"And in this blisse lete I now Arcite,
","I'm now Arcite, and I'm a little bit of a fool.","And in this bliss I now leave Arcite,
"
591,"And speke I wole of Palamon a lite.
",I'm going to Palamon a little bit of a lite.,"And I will speak of Palamon a little.
"
592,"In derknesse and horrible and strong prisoun
",the terrible and strong prisoun of the Derknesse and the terrible and strong prisoun of the Derknesse.,"In darkness and horrible and strong imprisonment
"
593,"Thise seven yeer hath seten Palamoun
",the Palamoun is seven times the size of the Palamoun.,"These seven years Palamon has sat
"
594,"Forpyned, what for wo and for distresse.
",what for the wo and the distresses.,"Wasted by suffering, what for woe and for distress.
"
595,"Who feeleth double soor and hevynesse
","hevynesse is a double-edged sword, soor and hevynesse","Who feels double pain and sadness
"
596,"But Palamon, that love destreyneth so
","Palamon, the love of the love is so great.","But Palamon, whom love so afflicts
"
597,"That wood out of his wit he goth for wo?
","he wanted to go to the woods, but he was afraid of the woods.","That he goes mad, out of his wits because of woe?
"
598,"And eek therto he is a prisoner
","he's a prisoner in a cage, he's a prisoner in a cage.","And also moreover he is a prisoner
"
599,"Perpetuelly, noght oonly for a yer.
",noght oonly for your sake.,"Perpetually, not just for a year.
"
600,"Who koude ryme in Englyssh proprely
",the koude ryme of Englyssh is a propitious thing.,"Who could rime in English properly
"
601,"His martirdom? For sothe it am nat I;
","for sothe I'm not, but for sothe I'm not.","His martyrdom? In truth it is not I;
"
602,"Therfore I passe as lightly as I may.
",I'm going to go as lightly as I can.,"Therefore I pass on as quickly as I can.
"
603,"It fel that in the seventhe yer, of May
","Felicia, May 7, 7: 00 p.m. Felicia, May 7, 7: 00 p.m. Felicia, May 7, 7:","It happened that in the seventh year, of May
"
604,"The thridde nyght (as olde bookes seyn,
","the old-fashioned book of the nyght (as old as the book),","The third night (as old books say,
"
605,"That al this storie tellen moore pleyn),
",the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the story of the,"That tell all this story more fully),
"
606,"Were it by aventure or destynee --
",by aventure or fate --,"Whether it was by chance or fate --
"
607,"As, whan a thyng is shapen, it shal be --
","when the thyng is made, it's gonna be --","As, when a thing is pre-ordained, it must be --
"
608,"That soone after the mydnyght Palamoun,
","after the Palamoun, the Palamoun, the Palamoun, the Palamoun, the Palamoun, the Palamoun, the Palamoun,","That soon after midnight Palamon,
"
609,"By helpyng of a freend, brak his prisoun
","a freend, brak a prisoun of a freend.","With the help of a friend, broke out of his prison
"
610,"And fleeth the citee faste as he may go.
",he flees quickly as he can.,"And flees the city as fast as he can go.
"
611,"For he hadde yeve his gayler drynke so
",he's got a drynke drynke in his hand.,"For he had so given his jailer drink
"
612,"Of a clarree maad of a certeyn wyn,
","a clarree maad of a certeyn wyn, a certeyn wyn.","Of a spiced and sweetened drink made of a certain wine,
"
613,"With nercotikes and opie of Thebes fyn,
","nercotike and opie of Thebes,","With narcotics and pure opium of Thebes,
"
614,"That al that nyght, thogh that men wolde him shake,
","but he shook his head, and he shook his head, and shook his head.","That all that night, though men would shake him,
"
615,"The gayler sleep; he myghte nat awake.
",the gayler's sleep; he's awake. He's awake. He's awake. He's awake. He's awake. He's awake. He's awake. He's,"The jailer slept; he could not awake.
"
616,"And thus he fleeth as faste as evere he may.
",so he flees as quickly as he can.,"And thus he flees as fast as ever he can.
"
617,"The nyght was short and faste by the day
","the day was short and quick, and the nyght was short and quick.","The night was short and very close to the day
"
618,"That nedes cost he moot hymselven hyde,
","nedes is a nedes, he's a nedes, he's a nedes, he's a nedes, he's a nedes, he's a nedes","So that by necessity he must hide himself,
"
619,"And til a grove faste ther bisyde
",til the grove is fastened to the ground by a faste fence.,"And to a grove close by
"
620,"With dredeful foot thanne stalketh Palamon.
","the foot of Palamon is a dank, dirty foot.","With fearful foot then stalks Palamon.
"
621,"For, shortly, this was his opinion:
","he said: ""I'm sure you're right about this, but I'm not sure about that."" He said: ""I'm sure you're right, but I don't","For, shortly, this was his idea:
"
622,"That in that grove he wolde hym hyde al day,
","he would have been singing hymns to the hymn, and he would have sung hymns to the hymn.","That in that grove he would hide himself all day,
"
623,"And in the nyght thanne wolde he take his way
",the nyght of the nyght wolde be taken away.,"And in the night then he would take his way
"
624,"To Thebes-ward, his freendes for to preye
","thebes-ward, the freeman of the land, to be ready to go.","Toward Thebes, to pray his friends
"
625,"On Theseus to helpe him to werreye;
",to help him to get away with it; to help him to escape;,"To help him to wage war on Theseus;
"
626,"And shortly, outher he wolde lese his lif
","he would soon be gone, and he would soon be gone.","And shortly, he would either lose his life
"
627,"Or wynnen Emelye unto his wyf.
",Wynnen Emelye to his wife.,"Or win Emelye to be his wife.
"
628,"This is th'effect and his entente pleyn.
",it's a result and his entente pleyn.,"This is the purpose and his full intent.
"
629,"Now wol I turne to Arcite ageyn,
","I'm going to turn to the ageyn of Arcite,","Now I will turn again to Arcite,
"
630,"That litel wiste how ny that was his care,
","the care of the ny man was his, and he was his.","That little knew how near his trouble was,
"
631,"Til that Fortune had broght him in the snare.
","he was caught in the trap by Fortune, who had taken him to the trap.","To which Fortune had brought him in the snare.
"
632,"The bisy larke, messager of day,
","bisy laird, the day of the day, the day of the day, the day of the day, the day of the day, the day of the day, the","The busy lark, messenger of day,
"
633,"Salueth in hir song the morwe gray,
",the morwe gray is the song of the morwe.,"Salutes the morning gray in her song,
"
634,"And firy Phebus riseth up so bright
",firy Phebus is shining so brightly.,"And fiery Phoebus rises up so bright
"
635,"That al the orient laugheth of the light,
","the light of the Orient, the light of the Orient, the light of the Orient.","That all the orient laughs because of the light,
"
636,"And with his stremes dryeth in the greves
",with the dryness of the greaves on the greaves.,"And with his rays dries in the groves
"
637,"The silver dropes hangynge on the leves.
",the silver drops are hanging on the leavings.,"The silver drops hanging on the leaves.
"
638,"And Arcita, that in the court roial
","Arcita, the court of the court of the court.","And Arcite, who in the royal court
"
639,"With Theseus is principal squier,
","the principal squire of the castle, the chief of the castle, the chief of the castle, the chief of the castle, the chief of the castle, the chief of the","With Theseus is chief squire,
"
640,"Is risen and looketh on the myrie day.
",the day of the myrie is rising and looking at the day.,"Is risen and looks on the merry day.
"
641,"And for to doon his observaunce to May,
","for the sake of May, he was a little surprised.","And to do his observance to May,
"
642,"Remembrynge on the poynt of his desir,
",the poynt of the desir is a poynt of the poynt.,"Meditating on the object of his desire,
"
643,"He on a courser, startlynge as the fir,
","on a cusp, startlynge as a fir,","He on a war horse, leaping about like the fire,
"
644,"Is riden into the feeldes hym to pleye,
",the feeldes hym is pleyed to the pleye.,"Has ridden into the fields to amuse himself,
"
645,"Out of the court, were it a myle or tweye.
",it was a myl or twi.,"Out of the court, about a mile or two.
"
646,"And to the grove of which that I yow tolde
",to the grove of the grove I told you to.,"And to the grove of which I told you
"
647,"By aventure his wey he gan to holde
",he was a little surprised to be held by a little bit of a stranger.,"By chance he began to hold his way
"
648,"To maken hym a gerland of the greves,
",maken hym a greve of the greaves.,"To make himself a garland of the branches,
"
649,"Were it of wodebynde or hawethorn leves,
","the wodebynde or hawethorn leavings, or the wodebynde or hawethorn.","Were it of woodbine or hawthorn leaves,
"
650,"And loude he song ayeyn the sonne shene:
",he sings ayeyn the song of the sonne:,"And loud he sang in the bright sun:
"
651,"""May, with alle thy floures and thy grene,
",may your floures and your greenery be yours.,"""May, with all thy flowers and thy greenery,
"
652,"Welcome be thou, faire, fresshe May,
","behold, the faire, beautiful May, be with you.","Welcome be thou, fair, fresh May,
"
653,"In hope that I som grene gete may.""
","I hope I'm going to be able to get a little grene. ""","In hope that I can get something green.""
"
654,"And from his courser, with a lusty herte,
","from the courser's mouth, with a lusty herte.","And from his war horse, with an eager heart,
"
655,"Into the grove ful hastily he sterte,
","he hurriedly hurriedly hurried to the grove, and hurried to the grove.","He rushed into the grove hastily,
"
656,"And in a path he rometh up and doun,
",he ran down the path and dived into the water.,"And in a path he roams up and down,
"
657,"Ther as by aventure this Palamoun
","the Palamoun is a great deal of fun, but it's a little scary.","Where by chance this Palamon
"
658,"Was in a bussh, that no man myghte hym se,
","no man's gonna be able to do it, myghte hym.","Was in a thicket, so that no man could see him,
"
659,"For soore afered of his deeth was he.
",he was so sorry about his deeth that he was sorry about his deeth.,"For he was sorely afraid of his death.
"
660,"No thyng ne knew he that it was Arcite;
","he knew he was Arcite, but he didn't know it was him.","In no way did he know that it was Arcite;
"
661,"God woot he wolde have trowed it ful lite.
",he would have taken it with a light. He would have taken it with a light.,"God knows he would scarcely have believed it
"
662,"But sooth is seyd, go sithen many yeres,
","sooth is seyd, sit down, many times, and many times.","But truly it is said, since many years ago,
"
663,"That ""feeld hath eyen and the wode hath eres.""
","""feeld is aye and the wode is ere.""","That ""field has eyes and the wood has ears.""
"
664,"It is ful fair a man to bere hym evene,
","it's a good thing that he's a man, too, for he's a man.","It is very good for a man to act calmly,
"
665,"For al day meeteth men at unset stevene.
","on the day of the meeting, men meet at the same time.","For every day people meet at unexpected times.
"
666,"Ful litel woot Arcite of his felawe,
","the felawe of the felawe, the felawe of the felawe, the felawe of the felawe.","Arcite knows full little of his fellow,
"
667,"That was so ny to herknen al his sawe,
","she was so ny to her knapsack, she was a knapsack.","Who was near enough to hear all his speech,
"
668,"For in the bussh he sitteth now ful stille.
","he sits down now, and he's sitting down, and he's sitting down.","For in the thicket he sits now very still.
"
669,"Whan that Arcite hadde romed al his fille,
","when he was in his mouth, he was in his mouth.","When Arcite had roamed all his fill,
"
670,"And songen al the roundel lustily,
","the roundel lustily, the roundel lustily, the roundel lustily, the roundel lustily, the roundel lustily, the roundel lust","And sung all the rondel cheerfully,
"
671,"Into a studie he fil sodeynly,
",he's a studie he's a studie he's a studie he's a studie he's a studie he's a studie he's a stud,"nbsp;                  He fell suddenly into a state of anxiety,
"
672,"As doon thise loveres in hir queynte geres,
",on the love of the love of the love of the love of the love of love of love of love of love of love of love of love of love of love of,"As these lovers do in their strange manners,
"
673,"Now in the crope, now doun in the breres,
","in the crope, now in the crope, in the crope, in the crope, in the crope, in the crope, in the cro","Now in the tree top, now down in the briars,
"
674,"Now up, now doun, as boket in a welle.
","boket, as a welle, now doun.","Now up, now down, like a bucket in a well.
"
675,"Right as the Friday, soothly for to telle,
","as the Friday, soothly for the news,","Exactly like the Friday, truly for to tell,
"
676,"Now it shyneth, now it reyneth faste,
","he's shyneth, now he's quick, and he's quick to reyn.","Now it shines, now it rains hard,
"
677,"Right so kan geery Venus overcaste
",so the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of the Venus of,"Just so can fickle Venus sadden
"
678,"The hertes of hir folk; right as hir day
",the herte of the people of the day; as the day of the day.,"The hearts of her folk; just as her day
"
679,"Is gereful, right so chaungeth she array.
","Geref, so she's got a lot of chaungies.","Is changeable, just so she changes her array.
"
